STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_nrg,Energy indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1990,,4.32,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1991,,6.41,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1992,,37.09,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1993,,7.99,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1994,,34.02,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1995,,6.91,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1996,,1.62,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1997,,2.23,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1998,,17.29,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,1999,,5.25,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2000,,18.43,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2001,,13.41,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2002,,15.80,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2003,,45.78,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2004,,4.94,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2005,,10.80,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2006,,28.77,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2007,,25.74,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2008,,7.30,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2009,,9.94,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2010,,25.27,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2011,,17.63,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2012,,31.63,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2013,,46.63,,,,,
dataflow,ESTAT:NRG_CHDD_A(1.0),Cooling and heating degree days by country - annual data,A,Annual,NR,Number,CDD,Cooling degree days,AT,Austria,2014,,8.97,,,,,
