STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1990,,482.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1991,,365.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1992,,403.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1993,,473.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1994,,527.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1995,,506.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1996,,741.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1997,,391.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1998,,361.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_IND_E,Final consumption - industry sector - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1999,,928.000,,,,,
