STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1990,,1200.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1991,,910.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1992,,1004.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1993,,1177.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1994,,1311.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1995,,1519.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1996,,2021.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1997,,1713.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1998,,1875.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_OTH_E,Final consumption - other sectors - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1999,,3392.000,,,,,
