STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1990,,1682.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1991,,1275.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1992,,1407.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1993,,1650.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1994,,1838.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1995,,2025.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1996,,2762.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1997,,2104.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1998,,2236.000,,,,,
dataflow,ESTAT:NRG_BAL_C(1.0),Complete energy balances,A,Annual,FC_E,Final consumption - energy use,E7000,Electricity,GWH,Gigawatt-hour,AL,Albania,1999,,4320.000,,,,,
