# General
## Title
### 2 metre temperature; data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### CMI6
## Date
### 2025-01-21
## Date type
### Publication: Date identifies when the data was issued
## Unit
### C
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### CMI6 : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### 
## Temporal extent
## Begin date
### 2029-01-01-0000
## End date
### 2029-12-31-2300
## Temporal resolution
### 1 hour
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are CMIP6_MPI-ESM1-2-HR_ssp370_r1i1p1f1_Projection (available at: https://esgf-data.dkrz.de/esg-search/)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,EG,EH,EL,ES,FI,FR,HR,HU,IE,IL,IS,IT,JO,LB,LI,LT,LU,LV,LY,MA,MD,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR,UA,UK,XK
2029-01-01 00:00:00,0.23295,-1.31332,2.45178,5.8071,-1.92729,-3.91492,10.02208,3.00316,4.36515,5.25583,8.58156,2.6328,8.04531,13.41242,2.33572,3.01664,-2.17011,5.1584,4.56188,-0.70854,10.60939,9.8347,-2.47456,3.42643,6.51849,3.64266,-3.85641,2.52802,5.82722,2.53061,6.59555,9.08703,-1.6898,0.47186,-2.75544,13.35486,5.67196,0.93323,2.69413,9.88636,6.78395,-1.01781,0.61796,1.39532,1.99735,-0.71948,6.26583,6.1253,-2.32316,-1.72555,8.47841,-0.82339
2029-01-01 01:00:00,0.40435,-1.62776,2.49465,6.01659,-1.72498,-4.36046,10.01484,3.03124,4.50895,5.23396,8.22444,2.6155,7.90278,12.90325,2.32224,2.85618,-2.14079,5.00165,4.53802,-0.64318,10.51149,9.92201,-2.23203,3.26031,6.60899,3.9292,-4.53684,2.60915,5.87965,2.5701,6.1473,8.84681,-1.32034,0.62251,-2.53354,13.3889,5.94496,0.95725,2.66025,9.97454,6.54988,-0.98199,0.64695,1.43621,1.82843,-0.68014,6.21052,5.9783,-2.43919,-1.49958,8.53856,-0.77487
2029-01-01 02:00:00,0.34184,-1.98041,2.33061,6.21786,-1.81484,-4.79255,9.7787,3.08293,4.66422,5.14462,7.27334,2.52744,7.15044,12.28581,2.06127,2.17429,-2.10971,4.73336,4.36863,-0.74475,10.41986,9.61818,-2.05098,2.94276,6.19518,3.92723,-4.90988,2.64277,5.85326,2.56907,5.35576,8.10552,-1.15539,0.48722,-2.60101,13.3726,6.15328,0.95511,2.59273,9.77522,5.9323,-1.17317,0.47423,1.42216,1.54753,-0.76898,5.83163,5.39469,-2.85113,-1.43492,8.57277,-0.96902
2029-01-01 03:00:00,0.36905,-2.21237,2.2979,6.3596,-1.79266,-5.03241,9.53347,3.21132,4.8293,5.19826,6.77406,2.51214,6.9908,11.80481,1.96822,1.75353,-2.00606,4.54066,4.26869,-0.80554,10.18028,9.67907,-2.09208,2.75082,6.35645,4.09955,-4.91216,2.66327,5.7729,2.5378,4.75618,7.78007,-1.07204,0.46031,-2.41277,13.40482,6.34683,1.18321,2.56199,9.82935,5.4183,-1.32295,0.3747,1.48889,1.24477,-0.7942,5.72108,4.81804,-3.15536,-1.28711,8.60676,-1.06224
2029-01-01 04:00:00,0.43771,-2.22382,2.31744,6.4737,-1.73002,-5.19994,9.47586,3.38835,5.01944,5.38378,6.5782,2.52671,6.8838,11.61598,2.00168,1.67235,-1.90717,4.43019,4.23231,-0.82838,9.94308,9.73073,-2.06816,2.65842,6.38504,4.30866,-4.78009,2.66926,5.80736,2.53503,4.48643,7.67444,-1.15172,0.53478,-2.19841,13.45077,6.48681,1.21738,2.58359,9.97992,5.27263,-1.45704,0.41486,1.54302,1.1625,-0.75272,5.53372,4.70972,-3.24462,-1.12858,8.59324,-0.98586
2029-01-01 05:00:00,0.34488,-2.13652,2.32046,6.62974,-1.84814,-5.29695,9.42713,3.58836,5.21935,5.74866,6.01158,2.52527,7.11067,11.39723,1.88104,1.46786,-1.76158,4.30979,4.2025,-0.93646,9.64829,10.10654,-2.19413,2.50133,6.86242,4.64533,-4.38635,2.60927,5.84529,2.50283,4.02747,7.2614,-1.57694,0.47766,-2.18563,13.46794,6.68432,1.2508,2.61466,10.38631,4.93214,-1.7412,0.33394,1.57353,1.06918,-0.80037,5.5677,4.35454,-3.29106,-1.09397,8.56697,-1.05604
2029-01-01 06:00:00,0.63482,-1.87086,2.60093,6.76797,-1.51613,-5.19994,10.05217,3.78756,5.423,6.15433,5.82838,2.5798,7.75382,11.39604,2.17249,1.41195,-1.59695,4.22156,4.35661,-0.89644,9.38225,10.46349,-2.29057,2.54845,7.24052,5.58144,-3.99716,2.58044,5.83565,2.52231,4.19597,7.24919,-1.72709,0.72209,-1.81986,13.54084,6.89867,1.25321,2.73684,10.89208,4.7263,-1.69283,0.62621,1.6566,1.26409,-0.73839,6.03353,4.52639,-3.01506,-0.95563,8.51639,-0.76611
2029-01-01 07:00:00,0.95317,-1.64169,2.66258,6.94428,-1.25884,-4.93877,10.68619,3.84523,5.61747,6.61629,5.52165,2.60158,8.70302,11.26741,2.68763,1.23681,-1.45398,4.12352,4.40185,-0.87876,9.10096,10.52234,-2.48715,2.59063,7.03006,6.19496,-3.25452,2.46803,5.94014,2.48617,5.23069,7.13619,-1.57264,0.74219,-1.73517,13.57855,7.18448,1.19239,2.84733,11.02653,4.57075,-1.59841,0.77113,1.75631,1.32673,-0.78005,6.27474,4.62265,-2.48053,-0.92309,8.51054,-0.62742
2029-01-01 08:00:00,3.05032,-1.01636,3.65282,7.17282,0.57293,-4.38808,12.19951,4.09092,5.84582,7.05083,7.85633,2.84119,12.83947,11.70488,5.17863,1.6749,-1.2037,4.26574,4.99722,-0.2117,8.86104,12.72124,-2.76044,3.47111,9.41356,8.30832,-2.27275,2.60083,5.89772,2.73211,8.27463,7.74843,-0.25481,2.02239,-0.08628,13.67082,7.53347,1.12438,3.27241,12.96378,4.62893,-0.36465,2.19566,1.94123,1.9134,-0.15428,9.21915,7.46386,0.00903,-0.10853,8.50847,0.94388
2029-01-01 09:00:00,4.08872,-0.15054,4.35444,7.39101,1.34112,-3.46312,12.51112,4.3924,6.15582,7.40817,9.12062,2.84491,14.04609,12.6856,5.95807,2.25156,-1.03508,4.73055,5.4966,0.15747,8.65506,12.91232,-3.13471,4.50672,9.3697,8.55539,-1.0602,2.56382,5.98459,2.74625,10.05559,8.50799,0.19715,2.7445,0.21599,13.82872,7.91261,0.8082,3.59186,13.13227,5.18552,0.20417,2.8562,2.06235,2.65841,0.07158,9.89631,8.63952,0.66467,-0.08711,8.47072,1.443
