# General
## Title
### Air Temperature
## Abstract
### CMIP6
## Date
### 2024-09-30
## Date type
### Publication: Date identifies when the data was issued
## Unit
### C
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### CMI6 : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
###
## Temporal extent
## Begin date
### 2040-01-01-0000
## End date
### 2040-12-31-2300
## Temporal resolution
### 1 hour
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are CMIP6_MPI-ESM1-2-HR_ssp245_r1i1p1f1_Projection (available at: https://esgf-data.dkrz.de/esg-search/)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,EG,EH,EL,ES,FI,FR,HR,HU,IE,IL,IS,IT,JO,LB,LI,LT,LU,LV,LY,MA,MD,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR,UA,UK,XK
2040-01-01 00:00:00,3.58477,-6.63734,-2.76118,0.0894,1.33779,-8.76011,11.80706,-4.11918,-2.7576,-4.33943,8.8192,-11.10995,12.58981,11.40856,8.67616,-0.76647,-10.66244,-1.95654,-0.77328,-2.82388,6.28944,8.2227,1.908,2.14608,3.49616,2.44545,-9.01523,-2.72785,-1.12641,-4.76109,16.15755,7.27634,-1.82683,-0.24289,0.95415,15.69042,-0.07496,-1.36652,-3.03915,7.90347,2.54083,-1.47696,-0.55856,-5.87754,-3.76166,-5.1258,-0.10142,10.08556,-4.21075,-3.11408,2.13404,0.32343
2040-01-01 01:00:00,3.72818,-6.72583,-2.95654,0.05904,1.44838,-8.92409,12.00284,-4.13376,-2.87582,-4.13811,8.38996,-11.61588,12.39163,10.78662,9.00956,-1.03883,-10.1901,-2.07255,-0.76962,-2.83252,6.46672,8.13174,1.8915,1.98475,3.35537,2.57141,-9.45254,-2.99428,-1.07264,-5.23628,15.77072,7.06696,-1.56263,-0.40508,1.08485,15.60512,-0.03179,-1.02493,-3.1177,7.85903,2.17867,-1.45378,-0.6284,-5.30523,-3.6498,-5.10417,-0.15615,9.94484,-4.18149,-3.11789,2.18783,0.31562
2040-01-01 02:00:00,3.63362,-6.89047,-3.3994,-0.04578,1.28332,-9.09995,12.03438,-4.10677,-2.98939,-3.98596,7.36586,-12.3083,11.57509,10.09346,9.14986,-1.88878,-9.70453,-2.27564,-0.99437,-3.02118,6.71984,7.67325,1.86088,1.67146,2.62505,2.3681,-9.91336,-3.39924,-1.03437,-5.74533,14.94079,6.33826,-1.85161,-0.82574,1.02157,15.54279,-0.02064,-0.77905,-3.24953,7.59054,1.33834,-1.72457,-0.90809,-4.69806,-3.78483,-5.25265,-0.63783,9.33701,-4.46734,-3.33429,2.22363,0.00678
2040-01-01 03:00:00,3.71445,-7.01853,-3.68913,-0.14171,1.32177,-9.19026,12.04108,-4.04809,-3.07411,-3.82096,6.78059,-12.69389,11.32254,9.48265,9.36609,-2.37352,-9.03776,-2.40982,-1.11981,-3.12627,6.95912,7.64886,1.77246,1.51048,2.60531,2.44502,-9.95051,-3.70142,-1.03204,-6.1908,14.3315,5.99409,-2.01253,-1.14315,1.10935,15.53116,-0.04021,-0.40971,-3.32514,7.71035,0.62322,-1.90261,-1.04761,-4.05136,-3.85719,-5.26504,-0.59376,8.83142,-4.57055,-3.38425,2.30724,-0.17962
2040-01-01 04:00:00,3.97088,-7.08216,-3.71772,-0.21139,1.48965,-9.22216,12.17032,-3.94398,-3.15847,-3.53277,6.47268,-12.67654,11.13428,9.15239,9.67344,-2.53441,-8.30058,-2.5053,-1.02626,-3.09881,7.1939,7.67395,1.76105,1.44941,2.45345,2.65718,-10.05076,-4.02512,-1.0401,-6.6263,14.02652,5.89451,-2.1161,-1.1779,1.29158,15.56027,-0.06345,-0.22033,-3.35767,7.90833,0.43151,-1.96571,-1.03054,-3.47294,-3.61118,-5.05861,-0.64854,8.72849,-4.48803,-3.37939,2.42979,-0.14971
2040-01-01 05:00:00,4.04177,-7.23931,-3.81842,-0.29862,1.5423,-9.28885,12.27421,-3.89198,-3.25303,-3.24775,5.7846,-12.56482,11.21126,8.80174,9.89946,-2.81941,-7.46355,-2.65418,-0.96468,-3.14228,7.41906,8.19618,1.7434,1.28696,3.0116,3.19005,-10.21114,-4.4854,-1.2122,-7.04444,13.44728,5.42268,-2.34797,-1.27832,1.42778,15.72016,-0.04331,-0.07051,-3.40992,8.6552,0.11481,-2.17394,-1.12877,-2.91077,-3.43835,-4.89135,-0.16705,8.4294,-4.24722,-3.48733,2.57491,-0.2513
2040-01-01 06:00:00,4.18071,-7.41094,-3.82211,-0.42063,1.86753,-9.42346,12.89588,-3.90487,-3.36833,-2.91472,5.54747,-11.99625,11.89846,8.62016,10.16059,-2.93165,-6.65472,-2.72435,-0.91516,-3.05505,7.70551,9.1401,1.84107,1.25936,4.15339,4.45865,-10.62913,-4.6345,-1.31799,-7.13075,13.64954,5.37698,-2.62875,-1.2228,1.7862,15.83613,-0.02259,-0.04568,-3.46532,9.81827,-0.19033,-2.32408,-1.00141,-2.43006,-3.35103,-4.67343,0.92918,8.47878,-3.52823,-3.52041,2.76953,-0.00306
2040-01-01 07:00:00,4.08755,-7.76014,-4.25236,-0.58893,1.93219,-9.65008,13.37689,-4.057,-3.523,-2.47307,5.25242,-11.2322,13.24813,8.30851,10.19883,-3.15184,-5.95306,-2.82763,-1.18669,-3.04399,7.92136,10.10886,1.84245,1.03466,5.239,5.66998,-11.15881,-4.61875,-1.48348,-7.0882,14.30561,5.21555,-3.23958,-1.71511,1.78028,15.86262,-0.05135,-0.04096,-3.6546,10.68393,-0.45775,-2.77192,-1.21091,-2.08069,-3.58388,-4.68704,1.73662,8.23414,-2.27117,-3.70129,3.01321,-0.13311
2040-01-01 08:00:00,5.46219,-7.70961,-3.73414,-0.71701,3.42478,-9.7173,15.48363,-3.88131,-3.58879,-1.93579,7.67775,-9.71766,18.29776,8.68083,11.59596,-2.69632,-5.22387,-2.64848,-0.86224,-2.25326,8.15707,13.77991,1.86557,1.66149,9.52325,8.46796,-11.11204,-4.06414,-1.56181,-6.31897,17.06253,5.85196,-3.1362,-1.11008,3.25211,15.88256,-0.12725,-0.05382,-3.48792,13.95062,-0.34059,-2.44004,-0.53932,-1.74108,-3.55139,-3.83018,5.46034,10.21862,1.18538,-2.9612,3.28488,1.10881
2040-01-01 09:00:00,6.19626,-7.46245,-3.63048,-0.69772,3.64839,-9.47501,15.8782,-4.07346,-3.52483,-1.28659,8.88855,-8.58441,19.77854,9.69386,11.85708,-2.42792,-4.63223,-2.30583,-0.90736,-2.23548,8.31925,15.01664,1.78929,2.30159,10.9149,9.48982,-10.49466,-3.91724,-1.5173,-5.86594,18.15575,6.47702,-3.72781,-0.86993,3.67385,15.80071,-0.06534,-0.189,-3.5708,15.04929,0.15519,-2.74072,-0.68949,-1.50954,-3.41733,-3.61832,6.75822,10.52551,2.60118,-3.07619,3.54335,1.13461
