# General
## Title
### Air Temperature
## Abstract
### CMIP6
## Date
### 2024-09-30
## Date type
### Publication: Date identifies when the data was issued
## Unit
### C
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### CMI6 : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
###
## Temporal extent
## Begin date
### 2025-01-01-0000
## End date
### 2025-12-31-2300
## Temporal resolution
### 1 hour
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are CMIP6_MPI-ESM1-2-HR_ssp245_r1i1p1f1_Projection (available at: https://esgf-data.dkrz.de/esg-search/)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,EG,EH,EL,ES,FI,FR,HR,HU,IE,IL,IS,IT,JO,LB,LI,LT,LU,LV,LY,MA,MD,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR,UA,UK,XK
2025-01-01 00:00:00,6.89816,-7.17234,1.16023,0.61015,6.31699,-8.49941,11.79324,-2.48092,-0.26874,-0.6793,9.37403,-4.4559,15.82811,11.86931,10.85037,-0.45634,-17.27774,-1.21848,1.6583,-1.72101,1.71205,12.46398,-4.46744,2.13449,10.84721,5.17276,-9.01912,-2.41101,-0.6875,-2.77883,14.28628,8.132,3.60102,2.62794,5.09221,16.67844,3.13466,-11.91186,-1.69169,12.62342,3.3089,1.69546,1.75421,-12.23241,-2.46555,-4.10154,4.92868,8.02996,1.0363,3.15216,1.60942,3.2516
2025-01-01 01:00:00,6.77054,-7.18243,1.08496,0.39329,6.32286,-8.50917,11.67535,-2.34381,-0.21932,-0.66908,9.05879,-4.50982,15.6738,11.30811,10.8207,-0.47522,-17.53189,-1.2996,1.47645,-1.85692,1.78597,12.23547,-3.94516,2.00519,10.85469,4.94449,-9.33049,-2.45075,-0.83352,-2.85859,13.99358,7.8996,3.29322,2.57766,5.06511,16.6777,3.05928,-11.99909,-1.47144,12.28896,3.20623,1.41838,1.67201,-12.3829,-2.75953,-3.99678,4.78479,7.89184,0.92162,2.79387,1.65786,3.23545
2025-01-01 02:00:00,6.36933,-7.37455,0.76757,0.09937,5.95888,-8.61549,11.40636,-2.30448,-0.18472,-0.62257,8.17572,-4.66845,14.94971,10.66294,10.62837,-1.01399,-17.79555,-1.49502,1.10034,-2.16269,1.9285,11.61261,-3.39238,1.70612,10.51851,4.42957,-9.77767,-2.46549,-0.98123,-2.97883,13.27354,7.15082,2.8556,2.30203,4.7222,16.67917,2.94039,-12.19968,-1.35715,11.61339,2.74889,0.9423,1.37499,-12.59177,-3.26521,-3.94664,4.33049,7.29825,0.54664,2.25064,1.72915,2.93786
2025-01-01 03:00:00,6.16727,-7.50155,0.53646,-0.11845,5.80211,-8.677,11.17808,-2.22286,-0.15025,-0.54679,7.7137,-4.79568,14.60764,10.15135,10.44143,-1.30247,-17.873,-1.59058,0.77261,-2.463,2.16514,11.20489,-2.97598,1.5171,10.2609,4.12539,-10.08633,-2.29575,-1.18429,-3.07074,12.77492,6.79748,2.40444,2.18554,4.61562,16.6173,2.85778,-12.20001,-1.25098,11.25522,2.30989,0.58009,1.19228,-12.59356,-3.74847,-3.90479,4.17393,6.78266,0.24203,1.83382,1.80598,2.79106
2025-01-01 04:00:00,6.05876,-7.59209,0.43262,-0.2774,5.67159,-8.70472,11.17609,-2.02566,-0.14528,-0.39749,7.50016,-4.90812,14.2888,9.97101,10.37493,-1.26992,-17.93557,-1.60243,0.58792,-2.63622,2.44365,10.88597,-2.46588,1.41338,9.86322,3.91354,-10.16143,-2.00551,-1.49184,-3.13292,12.58542,6.66468,2.02006,2.12183,4.55956,16.65007,2.81803,-12.28609,-1.15656,10.88876,2.24072,0.32535,1.10633,-12.54063,-3.96481,-3.79136,3.89417,6.72277,0.09265,1.47324,1.85781,2.79776
2025-01-01 05:00:00,5.91705,-7.7475,0.1899,-0.41528,5.40466,-8.78571,11.18902,-1.88718,-0.1692,-0.25228,6.93865,-5.07043,14.13212,9.73333,10.15744,-1.42973,-17.93654,-1.64956,0.36669,-2.90085,2.78214,10.94239,-2.04976,1.21048,9.68433,3.91522,-10.49681,-1.80145,-1.88473,-3.27474,12.20309,6.16937,1.52738,1.94108,4.31895,16.78583,2.78496,-12.4541,-1.14155,10.89514,1.99362,-0.04502,0.87757,-12.45777,-4.26282,-3.7924,3.87924,6.44164,0.02605,1.09994,1.90286,2.75375
2025-01-01 06:00:00,6.0307,-7.81171,0.21769,-0.54097,5.54338,-8.84038,11.74886,-1.75354,-0.2206,-0.19346,6.89365,-5.15396,14.56579,9.74057,10.19296,-1.37622,-17.95779,-1.61717,0.36211,-2.80985,3.20472,11.64869,-1.60641,1.21366,10.38287,4.95711,-10.59693,-1.61382,-2.19016,-3.3799,12.63085,6.11545,1.37882,2.02659,4.39566,16.97224,2.71192,-12.60193,-1.05964,11.66351,1.91937,-0.13524,0.90567,-12.34118,-4.29227,-3.66247,4.49068,6.66341,0.45267,0.86253,1.97024,2.92045
2025-01-01 07:00:00,5.89948,-7.95357,0.08074,-0.62113,5.50474,-9.05568,12.3232,-1.75437,-0.30728,-0.28151,6.87403,-5.36795,15.57712,9.62909,10.31254,-1.37393,-18.03439,-1.5922,0.21345,-2.62512,3.59597,13.01405,-1.18242,1.09204,11.82611,6.10961,-10.92043,-1.63878,-2.48306,-3.60002,13.5135,5.97504,1.44654,1.93043,4.30646,17.01661,2.60077,-12.69503,-1.0446,12.83529,1.87527,-0.24081,0.70157,-12.36047,-4.46738,-3.54973,5.02095,6.78339,1.48438,0.60224,2.01406,2.81027
2025-01-01 08:00:00,6.96002,-7.45423,0.90868,-0.6124,7.17344,-9.08062,14.15708,-1.44095,-0.32835,-0.42419,9.38807,-5.33567,20.25458,10.06422,11.92973,-0.72651,-17.88558,-1.25524,0.74936,-1.61727,3.94834,17.69759,-0.76707,1.85626,16.80947,9.09392,-10.69205,-1.44533,-2.64325,-3.548,16.38326,6.55726,2.70852,3.04335,5.76491,17.04147,2.50996,-12.75924,-0.68187,17.40206,2.08124,0.79392,1.68965,-12.27828,-3.91477,-2.55665,8.60373,9.29882,4.84331,1.18435,2.0403,4.18372
2025-01-01 09:00:00,7.51518,-6.68969,1.32132,-0.43319,7.44506,-8.76019,14.42163,-1.38252,-0.26627,-0.53423,10.78062,-5.56448,21.21277,10.87818,12.27745,-0.10492,-17.81465,-0.69327,1.03831,-1.27431,4.28734,18.58256,-0.36728,2.65175,17.46741,10.45299,-10.01688,-1.56427,-2.54779,-3.74675,17.78265,6.97704,3.10447,3.4649,6.03205,17.02672,2.6573,-13.03906,-0.50465,18.13369,2.70881,1.12466,1.79263,-12.2526,-3.11245,-2.15123,9.71659,10.17213,6.05676,1.12244,2.15456,4.58637
2025-01-01 10:00:00,9.74952,-4.67876,2.98744,0.42638,9.63382,-7.47676,15.17673,-0.6462,0.16664,-0.11189,14.7294,-5.06029,24.24992,14.73036,14.00229,3.73378,-17.37429,0.96554,2.54262,0.24481,5.12352,21.19174,0.22185,4.87291,20.58259,13.12166,-7.67038,-1.14852,-1.85935,-3.18191,21.75444,10.43565,4.42591,5.17449,8.60265,16.95745,3.31221,-12.06896,0.2455,20.42757,6.15048,2.76193,3.58502,-11.49228,-0.92496,-0.58829,12.34504,13.6361,8.01566,1.90307,3.00921,7.06604
2025-01-01 11:00:00,9.46644,-3.99353,2.98676,0.58744,8.81002,-7.06409,14.9366,-0.87769,0.12909,-0.38318,15.39865,-5.42769,24.9379,15.69849,13.78068,4.30068,-17.5623,1.58482,2.60263,0.62568,5.98886,21.30439,0.63884,5.20717,20.85213,14.34156,-6.97246,-1.35765,-1.72979,-3.30954,22.61975,10.41869,4.1773,4.71425,8.18892,16.91781,3.50117,-11.96186,0.25259,20.63624,6.73399,2.67392,3.19574,-11.55998,-0.54034,-0.40067,13.03607,13.95337,8.31091,1.80048,3.58822,6.34336
2025-01-01 12:00:00,9.08658,-3.44726,2.85556,0.84823,8.17405,-6.71642,14.66457,-1.04681,0.13448,-0.62545,15.94842,-5.81152,25.24746,16.62267,13.53429,4.92234,-17.74485,2.04853,2.72999,0.87685,6.79544,21.30574,1.03019,5.42105,20.89287,14.81813,-6.40086,-1.57638,-1.41647,-3.50597,23.26507,10.58217,3.77154,4.27514,7.53415,16.83116,3.67407,-11.81513,0.23175,20.46915,7.41463,2.48943,2.85971,-11.52769,-0.11204,-0.28055,13.20821,14.23921,8.32027,1.59048,4.13216,5.70073
2025-01-01 13:00:00,8.8362,-3.43071,2.71924,0.90396,7.94058,-6.71601,14.45354,-1.16015,0.05208,-0.89339,16.20381,-6.1177,25.21786,17.13203,13.37125,5.2731,-17.80167,2.23625,2.79847,0.89372,7.40391,21.13939,1.20761,5.4418,21.01525,14.62706,-6.05065,-1.80254,-1.27194,-3.73984,23.67613,10.62583,3.40628,4.02154,7.31235,16.7391,3.7377,-11.79479,0.22769,20.17628,7.94445,2.3112,2.73215,-11.38317,0.1553,-0.2995,13.28398,14.39424,8.21081,1.37367,4.47868,5.40737
2025-01-01 14:00:00,8.69333,-3.67122,2.45393,1.03798,7.5459,-6.89468,13.92426,-1.41073,-0.0539,-1.29342,17.00109,-6.70995,24.57369,18.44162,13.03098,6.12797,-18.11749,2.36273,2.8088,0.61791,7.85874,19.42756,1.32072,5.41119,19.6718,12.62003,-5.74429,-2.41412,-1.17364,-4.45131,24.42239,11.39733,2.61537,3.79244,7.23617,16.59775,3.71912,-11.99118,0.09287,18.61857,9.16423,1.82546,2.55706,-11.37156,0.26484,-0.59046,11.79449,14.86856,6.96197,0.67663,4.71707,5.21021
2025-01-01 15:00:00,8.3106,-4.34234,2.10549,1.01341,7.41566,-7.35029,13.38037,-1.6915,-0.32559,-1.86366,16.95177,-7.0541,23.93462,18.69799,12.71306,6.02305,-18.05494,2.13093,2.49133,0.0443,8.22695,18.35137,1.20967,4.97944,18.57296,11.70548,-6.29198,-2.83128,-1.16071,-4.85066,24.37776,11.30179,1.97752,3.58849,7.04271,16.55479,3.46862,-12.43261,-0.11406,17.70454,9.30908,1.33535,2.28522,-11.19793,-0.28641,-0.92511,10.51939,14.55809,5.95063,0.3365,4.79484,4.84278
2025-01-01 16:00:00,8.48329,-4.84612,1.95507,0.94835,7.50347,-7.59865,13.32275,-1.79406,-0.58714,-2.42477,16.81635,-7.34265,23.30433,18.4992,12.63694,5.75988,-18.01147,1.9033,2.02989,-0.47886,8.64008,18.56936,1.103,4.5636,18.54147,11.47384,-6.47801,-3.22029,-1.23291,-5.23214,23.66744,11.10912,1.51853,3.73864,7.22098,16.46116,3.19611,-12.56719,-0.19965,18.20837,9.07229,1.06196,2.24922,-10.94625,-0.98114,-0.95935,10.17791,14.19208,5.16679,0.15849,4.88472,4.93018
2025-01-01 17:00:00,7.22914,-5.47635,1.1308,0.90203,6.32017,-7.6724,12.69752,-1.94691,-0.74364,-3.1391,15.18292,-7.98521,20.74061,17.70807,11.44192,4.18958,-18.17191,1.32907,1.28802,-1.408,9.02558,16.9998,0.81638,3.44775,16.04522,9.97401,-6.66509,-4.028,-1.23299,-6.03455,21.0875,10.24742,0.51603,2.89259,5.76926,16.47512,3.00937,-12.7877,-0.46015,16.6165,7.6477,0.02655,1.29983,-11.06994,-1.94934,-1.53337,8.34367,11.8606,3.14327,-0.41531,4.86887,3.69557
2025-01-01 18:00:00,6.93636,-5.95644,0.81197,0.87645,6.13183,-7.80122,12.37582,-1.98525,-0.88153,-3.80616,14.26738,-8.2932,20.04642,16.81442,11.40276,3.37919,-18.04378,0.9999,0.80247,-1.85816,9.09373,16.89335,0.5877,2.88005,15.70035,9.80193,-7.06608,-4.5704,-1.31861,-6.56207,19.79376,9.73434,0.20221,2.65742,5.44269,16.48919,2.85638,-12.91378,-0.59013,16.60328,6.5256,-0.30576,1.04554,-10.96255,-2.78336,-1.72587,7.81656,10.91872,2.37399,-0.5789,5.00244,3.47596
2025-01-01 19:00:00,6.84653,-6.15193,0.85712,0.94878,6.24589,-7.77844,12.41467,-1.90778,-0.97924,-4.41156,13.82705,-8.56586,19.59569,15.89633,11.4022,3.12591,-17.93512,0.957,0.70001,-1.92449,8.60512,17.0792,0.35128,2.70389,15.8034,9.85198,-7.64527,-5.08719,-1.28972,-6.97076,19.09716,9.31547,0.0857,2.59405,5.41809,16.45999,2.7702,-13.15037,-0.69041,16.78166,6.18659,-0.37957,1.15125,-10.95706,-2.99685,-1.71265,7.78038,10.64526,1.99323,-0.64703,5.253,3.59869
2025-01-01 20:00:00,6.23898,-6.54569,0.5528,0.95296,5.65708,-7.97957,12.06442,-2.01882,-1.16883,-5.13527,12.25343,-9.13256,17.99397,15.07148,11.02069,2.50712,-17.8849,0.73269,0.38853,-2.17984,7.69008,16.27787,0.05623,2.11455,14.95655,9.26064,-8.3173,-5.78633,-1.33789,-7.59744,17.47444,8.27486,-0.2524,2.03712,4.76493,16.49693,2.64579,-13.47459,-0.9739,16.02032,5.42107,-0.84988,0.8351,-11.16904,-3.39391,-2.03782,6.97692,9.84739,1.21631,-0.95225,5.49021,3.10587
2025-01-01 21:00:00,5.89167,-6.89761,0.29584,0.98121,5.60382,-8.09567,11.91381,-2.06553,-1.32576,-5.71906,11.32531,-9.42354,17.0809,13.27171,10.75206,1.42637,-17.64138,0.68206,0.15668,-2.19488,6.96454,15.9575,-0.28238,1.70922,14.88274,9.00744,-8.91917,-5.99379,-1.27898,-7.87958,16.50744,7.58403,-0.27506,1.7866,4.46661,16.44974,2.52548,-13.82318,-1.16557,15.88287,4.70968,-0.96801,0.81008,-11.28703,-3.76194,-2.14532,6.61496,9.04117,0.93294,-1.0253,5.77329,2.94009
2025-01-01 22:00:00,5.14751,-7.33602,-0.3585,0.96759,5.09059,-8.21604,11.76928,-2.17635,-1.54859,-6.04712,10.13726,-9.81974,15.59545,12.23685,10.43823,0.66851,-17.70937,0.5068,-0.39107,-2.42343,6.35114,14.99883,-0.24518,1.15343,13.8816,8.20067,-9.26059,-6.0069,-1.37773,-8.26847,15.29164,6.6449,-0.61381,1.009,3.77075,16.40395,2.37808,-14.08435,-1.424,15.1316,3.89347,-1.35513,0.36932,-11.52156,-4.37387,-2.35988,5.67402,8.16713,0.56026,-1.28858,6.04175,2.26437
2025-01-01 23:00:00,4.98992,-7.48669,-0.54995,1.07531,5.10578,-8.20426,11.86708,-2.14746,-1.6299,-6.11061,9.79511,-10.05075,15.10273,11.4606,10.37833,0.60769,-17.53767,0.62551,-0.44865,-2.29781,5.91439,14.53947,-0.35372,1.02851,13.68072,7.97309,-9.19324,-5.50961,-1.2742,-8.40683,14.77818,6.48789,-0.6176,0.8407,3.66991,16.23292,2.33463,-14.15402,-1.53313,14.81886,3.69724,-1.33171,0.40065,-11.66832,-4.50327,-2.35053,5.36172,8.11788,0.49672,-1.31395,6.39454,2.09942
2025-01-02 00:00:00,4.86986,-7.70267,-0.73127,1.29005,4.99691,-8.22051,11.95451,-2.06839,-1.63024,-5.99706,9.29319,-10.26998,14.63097,10.6831,10.42596,0.50921,-17.37259,0.73877,-0.56343,-2.20748,5.61525,14.06945,-0.63651,0.83801,13.38116,7.60478,-9.27342,-5.13321,-1.09356,-8.74237,14.19277,6.2361,-0.6626,0.67172,3.50941,16.10184,2.37218,-14.04022,-1.59578,14.35685,3.49854,-1.35924,0.37957,-11.89296,-4.82065,-2.41567,5.02328,7.96674,0.47599,-1.41688,6.54634,1.97608
2025-01-02 01:00:00,4.6885,-7.78806,-0.81545,1.44314,4.85179,-8.17069,12.04437,-2.07211,-1.66158,-5.91567,8.99613,-10.4326,14.25615,9.94924,10.33611,0.52564,-17.12302,0.93254,-0.59974,-2.06331,5.46068,13.67544,-0.74248,0.74333,13.12594,7.29578,-9.42392,-5.09006,-0.87724,-9.23902,13.80617,6.03445,-0.68386,0.45063,3.3844,15.8933,2.36128,-14.02231,-1.73873,13.74452,3.34163,-1.36119,0.37273,-11.93532,-4.97225,-2.4297,4.77292,7.96612,0.43206,-1.45676,6.48245,1.82891
2025-01-02 02:00:00,4.26679,-7.88549,-1.13638,1.56093,4.38368,-8.12818,11.93955,-2.17306,-1.67439,-5.61351,8.11832,-10.78124,13.25546,9.12402,10.01747,-0.00486,-16.89821,1.04763,-0.87364,-2.11687,5.38846,13.09947,-0.8528,0.46365,12.45519,6.75779,-9.74869,-5.37244,-0.49168,-9.94416,13.03614,5.30659,-0.91633,0.15202,2.99859,15.61926,2.36985,-14.06808,-1.97479,12.93306,2.84072,-1.58688,0.15027,-12.04662,-5.34445,-2.55505,4.15247,7.47971,0.10619,-1.65499,6.21866,1.44365
