# General
## Title
### 2 metre temperature; data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### CMI6
## Date
### 2024-11-27
## Date type
### Publication: Date identifies when the data was issued
## Unit
### C
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### CMI6 : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### 
## Temporal extent
## Begin date
### 2055-01-01-0000
## End date
### 2055-12-31-2300
## Temporal resolution
### 1 hour
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are CMIP6_MPI-ESM1-2-HR_ssp126_r1i1p1f1_Projection (available at: https://esgf-data.dkrz.de/esg-search/)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,DZ,EE,EG,EH,EL,ES,FI,FR,HR,HU,IE,IL,IS,IT,JO,LB,LI,LT,LU,LV,LY,MA,MD,ME,MK,MT,NL,NO,PL,PS,PT,RO,RS,SE,SI,SK,SY,TN,TR,UA,UK,XK
2055-01-01 00:00:00,5.65584,9.14603,9.34271,11.92701,4.27525,6.5185,12.56178,12.08318,10.91221,6.40509,10.85874,3.46145,14.45364,18.08361,6.62077,10.37025,-2.724,11.67152,10.16002,8.66618,6.03341,14.27868,1.16766,8.40846,10.87312,7.46127,10.02871,5.03674,11.44868,3.36305,11.08657,14.49415,7.53507,6.62227,2.62428,16.00228,9.35783,-2.02317,8.53523,13.79838,12.70589,7.097,6.38117,-0.19524,8.00356,9.71859,7.91412,11.18996,3.14524,7.23901,5.83901,3.7331
2055-01-01 01:00:00,5.5576,9.02344,9.47802,11.73967,4.21206,6.46279,12.41494,12.12263,10.81956,6.33716,10.42239,3.42049,14.54868,17.64728,6.43264,10.23595,-2.76779,11.47903,10.17374,8.60529,6.14308,14.12217,1.10335,8.3959,10.63291,7.53806,9.61329,4.81287,11.24723,3.32709,10.88107,14.21228,7.51245,6.74193,2.52191,15.68031,9.07722,-2.14255,8.2484,13.78965,12.57938,7.13436,6.19113,-0.11524,8.20074,9.50718,7.8567,11.12335,3.11756,7.24886,5.74185,3.74773
2055-01-01 02:00:00,5.22741,8.73324,9.43981,11.4151,3.86131,6.44942,12.09344,12.09716,10.62406,6.24969,9.42014,3.37256,14.06693,17.14518,6.03052,9.75068,-2.81773,11.1556,9.97806,8.38348,6.22098,13.70609,0.97796,8.27749,9.87624,7.47603,9.03533,4.50798,11.03524,3.23611,10.26089,13.50906,7.24599,6.73795,2.16868,15.37793,8.7606,-2.25432,8.03762,13.47107,12.26009,6.97772,5.80401,-0.12969,8.16832,9.49157,7.48254,10.65523,2.86488,7.20292,5.64899,3.47514
2055-01-01 03:00:00,4.97217,8.45118,9.46747,10.99335,3.73054,6.81343,11.84794,11.92953,10.41592,6.2351,8.87552,3.32082,14.08327,16.93963,5.72738,9.53561,-2.80715,10.82196,9.95622,8.25215,6.31989,13.58544,0.74622,8.19933,9.63549,7.56443,8.49122,4.1907,10.76381,3.20807,9.93107,13.28985,7.35625,6.82304,1.98156,15.16193,8.33231,-2.17709,7.81009,13.52008,12.03744,6.94266,5.54969,-0.1404,8.0506,9.25398,7.44193,10.29751,2.65886,7.30619,5.58923,3.34587
2055-01-01 04:00:00,4.77027,8.61221,9.38164,10.52495,3.64235,6.88759,11.79293,11.71467,10.22485,6.27642,8.56741,3.30194,14.14898,16.89174,5.57039,9.37835,-2.78715,10.53328,9.94975,8.34877,6.43682,13.56556,0.64686,8.17961,9.55479,7.75987,8.28404,3.9506,10.71003,3.20259,9.9669,13.20276,7.47023,6.97041,1.914,14.95201,7.92875,-2.25194,7.63174,13.44041,11.94872,7.01112,5.42442,-0.23305,7.97039,9.27424,7.4043,10.25389,2.49935,7.36683,5.55435,3.38664
2055-01-01 05:00:00,4.4099,8.59514,9.16103,9.87799,3.39619,6.58004,11.8019,11.31202,9.97033,6.37974,7.9205,3.22826,14.28268,16.74079,5.31234,9.16836,-2.75437,10.26446,9.81579,8.39672,6.49074,13.81818,0.4954,8.10698,9.9246,8.08313,9.48708,3.79916,10.88827,3.16376,9.78876,12.88209,7.6097,6.9731,1.75068,14.77014,7.46999,-2.32138,7.38607,13.61952,11.78782,6.78524,5.2609,-0.41361,7.7815,9.13173,7.62005,9.98965,2.35068,7.22351,5.54546,3.35643
2055-01-01 06:00:00,4.55276,8.49055,9.24434,9.17594,3.65207,6.23834,12.31519,11.43967,9.72005,6.47273,7.78243,3.21961,14.3064,16.81113,5.35058,9.09954,-2.73225,9.96892,9.79011,8.58715,6.51435,14.13007,0.44823,8.17209,10.5176,8.98307,8.55429,3.70338,10.19663,3.20453,10.06486,12.84724,7.95489,7.15165,1.95363,14.6762,7.08018,-2.36316,7.24222,14.00245,11.69222,6.83267,5.49815,-0.58558,7.9225,9.22578,8.20374,10.21657,2.64665,7.22455,5.5398,3.55758
2055-01-01 07:00:00,4.8196,8.42823,9.12128,8.56865,4.00416,5.71002,12.81554,11.27453,9.40717,6.55784,7.72787,3.16268,14.66865,16.72077,5.52055,8.98938,-2.74182,9.70619,9.67582,8.78472,6.46333,15.00386,0.34707,8.1865,11.22746,10.39084,8.02159,3.56176,9.69435,3.17135,10.60447,12.76415,8.48284,7.06183,2.02114,14.56763,6.76226,-2.36659,7.03612,14.87795,11.54906,6.94739,5.73908,-0.76598,8.20663,9.49689,8.61059,10.32208,3.36598,7.17922,5.51844,3.49405
2055-01-01 08:00:00,6.81485,8.35846,9.75206,7.95353,6.42938,5.24395,14.73421,11.48619,9.02198,6.65826,10.25126,3.25199,18.23868,16.96158,7.59508,9.19161,-2.67862,9.5571,10.05718,9.47472,6.35878,18.54894,0.28154,8.67531,14.87233,13.62564,5.14228,3.78488,9.36027,3.42007,12.7518,13.2195,10.31448,7.70274,3.82706,14.50592,6.55101,-2.34778,7.11673,18.25139,11.52473,8.26031,7.31316,-0.89791,8.75241,9.99326,11.3941,12.51132,6.11765,7.9183,5.49919,4.99523
2055-01-01 09:00:00,8.21444,8.13777,9.92477,7.41782,8.04217,5.01205,15.07548,11.71739,8.68913,6.7516,11.80902,3.20508,18.40865,17.66154,8.47214,9.55392,-2.67487,9.59245,10.31945,9.90966,6.33299,18.31934,0.14595,9.27753,15.0077,13.85351,5.12521,3.79298,8.96142,3.44538,13.49145,13.83775,10.7952,7.83698,4.84336,14.51371,6.4927,-2.43924,7.03578,17.96646,11.6695,8.82544,8.07173,-1.05864,9.20514,10.24238,11.76494,13.56111,7.00859,7.75822,5.61479,5.79668
