nuts0,country,year,month,tas,hdd,cdd,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
AT,Austria,1950,1,264.61252774592776,745.1614664074198,0.0,275.629434322847,268.2361816230019,255.71075294740047,272.0587104533105,261.3326013557807,245.30725893388583
AT,Austria,1950,2,266.7188385760515,614.0723775333129,0.0,278.5385473934797,270.4761285350673,263.946053862256,271.7073415734101,263.156450718136,255.08817049879593
AT,Austria,1950,3,274.44499374094386,440.12487887035616,0.0,285.23375455903886,278.247338969175,270.7960591687955,276.4055647246701,271.24874663463584,264.8463950321965
AT,Austria,1950,4,278.16971173874583,316.00368665444216,0.04708078236202344,290.48057112903234,283.0024842299711,273.5123047421778,279.8213341647255,273.86186326160885,266.25440381120984
AT,Austria,1950,5,284.1156661795094,161.72713049427554,1.0000086807834772,293.69409700624294,289.0511408775608,280.0757630378448,283.06698177423516,279.35549128335197,273.2195326284329
AT,Austria,1950,6,289.79600358001267,67.50018872058565,27.71552696169646,302.98724076898304,294.8245920570949,284.78746041280476,290.96572116678266,284.7333381807731,277.8429953738898
AT,Austria,1950,7,289.3500544806689,58.679744285104746,16.544743336200007,301.9612344145014,294.07224682456604,285.774684967664,289.7144681559266,284.88034308658746,279.9577158941854
AT,Austria,1950,8,287.22442218494183,96.76134564900578,9.40941121525665,301.22788138242385,292.246139015498,282.32941465890787,288.01220374613956,282.5855649300181,276.4416842277148
AT,Austria,1950,9,285.90593528812747,110.09546391367823,4.133551901541688,296.4286750538734,290.7783699585685,281.53570784158944,286.11717497853124,281.9876576566221,276.7056945544237
AT,Austria,1950,10,278.0664915989415,326.57701018652756,0.0,290.0995866758872,282.2007746823442,271.5895140421991,280.76882426457354,274.45009977597647,261.4456071496359
AT,Austria,1950,11,272.56142204709033,482.5776874797227,0.0,284.2438351071533,275.77127181171875,268.2197956316982,277.2294710575116,269.83013330742995,261.05225557801606
AT,Austria,1950,12,272.0898968119748,513.3629224037804,0.0,280.87509750601527,274.65381706994367,268.53238887196324,275.89582598069387,269.90826531139845,263.15029845571473
AT,Austria,1951,1,268.8962114427503,612.3672149901961,0.0,278.8371429718507,271.7342296078242,265.76686747665923,274.0706116920834,266.37364051771067,258.5960913679008
AT,Austria,1951,2,270.3812853956127,511.5238269450305,0.0,280.60911554652967,273.5259959061278,266.0394734220058,273.852132462474,267.65740864335334,257.52459281691085
AT,Austria,1951,3,271.26076424753654,538.9453269960388,0.020036672380158067,288.11119026437336,275.10705043394296,265.89579341428515,276.51847788716776,267.64726312381674,255.0697526267723
AT,Austria,1951,4,277.1726876792506,348.61434435700045,0.1988668780207321,291.2498127353163,281.3418125451069,269.77736440007453,280.3478844765612,273.3628297348529,265.6219174468027
AT,Austria,1951,5,283.20348265331086,193.95344683034614,3.1919876954805337,295.94272121736685,287.92260863843865,277.7919674877685,284.5317298100357,278.78652303727125,272.401620022849
AT,Austria,1951,6,282.40111243534017,194.62893748681927,0.3955709536006651,294.47010475315585,286.01483601041673,280.88288990722333,283.20867354794404,278.7798367322754,274.82146478317077
AT,Austria,1951,7,290.6075217377771,50.42047637175547,26.69314844406823,302.7948800314463,295.69137214202243,285.0337890867009,290.54956802556194,285.6047374799513,278.1586374458715
AT,Austria,1951,8,288.68652650617025,67.91171391229022,14.343881240816781,302.3411612006611,293.8287691755083,283.9762465497974,289.5548311966314,284.1553342242972,278.76514266069574
AT,Austria,1951,9,286.16506219315465,94.92506916096798,2.3413974245911486,296.8462696046519,291.37160892837574,285.0228110621889,286.1617562493391,282.065684696243,276.77544463582035
AT,Austria,1951,10,280.5018024149598,254.01761714715457,0.21577786061827986,294.1926829330219,284.54933464206306,274.011436702183,284.7858246167035,277.3134791394541,267.6137115586588
AT,Austria,1951,11,271.94552602238167,501.09243955636157,0.0,285.2538253732809,275.07295303520556,268.43631613213404,277.77854077331364,269.1691569416432,260.79732458424553
AT,Austria,1951,12,267.46310353840556,656.7934770876203,0.0,276.6989765560312,270.16908051171487,262.7675823529705,272.9087485471384,264.87867226117686,255.2666972913253
AT,Austria,1952,1,270.0884148289509,575.4089263769819,0.0,280.2900597200687,272.7574158194198,263.0975011895845,275.49728050397755,267.5636846106452,255.42639379376791
AT,Austria,1952,2,268.45003684458595,585.7986562364617,0.0,278.3835381936083,271.51016017179415,265.4668416916704,270.9078985608568,265.5889584283722,257.89571567514747
AT,Austria,1952,3,272.45493421667425,502.01356889133285,0.0,282.1506370337927,275.92119604866207,268.5325880128968,275.5307723242655,269.4016156973175,260.9475381001784
AT,Austria,1952,4,277.39301213042177,337.9681957680753,0.0,287.32396904138665,281.13111520289465,273.9016694204564,278.9265780045139,273.9220791614241,268.05886448518214
AT,Austria,1952,5,283.0360019617927,189.93367459249362,1.2463696370067399,296.46789069553785,287.4197756144719,280.5302683238176,285.08765745563954,278.81087600657696,273.75389048859256
AT,Austria,1952,6,285.5661854727827,127.56679951946654,4.997807469802391,298.108275918959,289.85566957266985,280.4107974940041,286.72528058196565,281.36236138925386,274.6768334659703
AT,Austria,1952,7,286.89755618150645,91.9834608620925,3.085518961377879,296.83350059436464,290.86064437494394,283.10115385485574,286.80852757449946,283.1181762996331,277.1398879493147
AT,Austria,1952,8,288.6397677417121,77.08732889560768,16.877070324130656,302.5862783708332,293.5514282372303,283.2356780159617,290.3372863131381,284.0862961965795,276.8717296403203
AT,Austria,1952,9,285.7915450582231,115.92187367866492,5.845015640933123,299.00080962545815,290.96697068865404,283.7102345975944,288.4029981546937,281.5739312816024,275.70450818524813
AT,Austria,1952,10,279.5654171156142,281.64689703793425,0.0,290.31443625426186,283.30077371252105,274.8086293248283,283.61207396200433,276.38567282288113,267.5517435172353
AT,Austria,1952,11,275.4400215025005,396.28371100399136,0.0,284.8866987213663,278.572680644998,272.237962085333,279.4072124275942,273.03501900636104,265.8377999170084
AT,Austria,1952,12,272.78251259799055,491.8919823913935,0.0,280.79705811130736,275.22499645944583,269.35908194426577,275.9664252937104,270.73166990028295,264.94604751088326
AT,Austria,1953,1,269.94332735457544,579.9066783169827,0.0,277.9367372087286,272.53470645008497,260.13280149017635,273.525264539435,267.7147243425835,253.30332435433428
AT,Austria,1953,2,268.93806496227694,551.9339815284516,0.0,280.37296111505077,272.2365602933521,262.1236129528737,273.7577542701122,266.10096341964424,255.18277314033656
AT,Austria,1953,3,275.9810440734282,396.1294879990784,0.3105813326494846,291.63331116194814,280.225889063775,267.02192446477454,281.645346102431,272.4368392502107,257.94090015089745
AT,Austria,1953,4,277.9069170335589,325.76833428142174,0.14031664164580154,291.65017503747,282.6282999862034,270.91027804536,281.4337509454997,273.63750498327994,264.91270207464333
AT,Austria,1953,5,284.57163655402314,160.4244492826395,4.867882672968456,298.9707786387225,289.11492996748825,279.665820595815,287.6841287642012,280.2164998030379,273.26579257297897
AT,Austria,1953,6,287.7843641202124,85.1788176056706,11.120957173679036,301.09377545626376,292.35028232805064,282.6454385665911,288.6423076263694,283.38502419293377,276.20113793593487
AT,Austria,1953,7,286.3288959210747,111.43935458150006,5.892402691236856,298.8119282593216,290.90133608844747,284.34270520079,287.85344469832387,281.99412948150433,277.30985147921064
AT,Austria,1953,8,289.5444559018872,61.6849280370803,24.49719038486056,304.4294572070347,295.1395942449258,284.28536321282104,291.6038544972814,284.53688394560453,278.4994398594095
AT,Austria,1953,9,285.0660881273557,123.47146292414986,2.3225502813767847,298.71892245113804,290.31279676847106,283.2865385733997,287.42000788892653,280.7922782169308,274.2353422689755
AT,Austria,1953,10,281.9408515412616,213.0693827059422,0.6665969349589965,294.96842159513733,286.500365081305,274.51239406824453,285.5218442369464,278.4865317361189,266.7025940137881
AT,Austria,1953,11,272.36331988011,488.59695765673985,0.0,283.6042586456422,275.4058616835778,268.1250543700012,277.38112112849404,269.45081452712947,260.141654547465
AT,Austria,1953,12,267.5938280017408,652.7411202734114,0.0,277.65792947285547,270.37319123094477,264.85671440690646,272.433626234416,265.114942914347,258.29168286062645
AT,Austria,1954,1,271.53037654826846,530.7038475540174,0.0,281.2303418128407,274.3325753690023,264.30275512603333,275.6245338138955,269.1498688127115,256.96076276723124
AT,Austria,1954,2,271.3036989686593,485.6859692274554,0.0,281.1765296632276,274.8060516247516,269.2316300959526,273.27275973887436,268.33006268806986,261.9422621367855
AT,Austria,1954,3,273.13302508707454,480.94785210869463,0.0004418039965579319,286.0156590773726,276.38022946273213,269.4413084251654,275.65165233548777,270.28207006000855,262.7606977951822
AT,Austria,1954,4,277.9988521409006,319.35404119216236,0.0,288.2501187442475,281.6876831967,274.31079118618834,279.75241287453304,274.70775225860916,268.98813203564674
AT,Austria,1954,5,284.59134030531663,147.7298020006733,1.6141847037257828,295.999257926618,289.182567492672,282.2641033965789,285.58081306603566,280.1517486308154,274.81899492270827
AT,Austria,1954,6,286.7648450431893,95.06753009191233,4.595020474763077,298.26142872196954,291.0067535212541,283.3594669074885,287.50691082749006,282.6948893990585,278.3689890675167
AT,Austria,1954,7,289.8252510498244,53.52477655920428,20.267662627972875,302.38510826543757,294.99619119262803,287.5559432962649,289.35263425931134,284.9362868512866,279.2008748022926
AT,Austria,1954,8,287.49816409484214,88.17391922272556,9.231589454671425,300.4441321509699,292.3042311276297,283.06625859393966,287.59152568402743,283.2138695851843,277.53726901118625
AT,Austria,1954,9,286.19976726931907,104.58685516051995,5.493237868056015,297.41626745370854,291.1444182525428,282.3111684525731,287.1743119147335,282.3588022959802,277.5324723062206
AT,Austria,1954,10,280.3076030889995,256.4237852947501,0.0,291.02642832370316,284.49248388689267,275.8568773234245,282.16557020241737,277.09425269463566,270.1815166280696
AT,Austria,1954,11,273.45179740107574,455.92577705983825,0.0,283.5096222731529,276.2786114806987,271.0599506693802,277.8637471853499,271.10146579079515,264.037628423388
AT,Austria,1954,12,270.04587297373746,576.7276987325671,0.0,279.393912699403,272.44929029987054,265.02135150727736,274.71208618592374,267.9207168667573,258.4314697277881
AT,Austria,1955,1,268.83846795787167,614.1573009272086,0.0,278.4326867469802,271.5864866259122,265.7960595776816,273.1665765726049,266.4725461253777,259.0070361920698
AT,Austria,1955,2,269.43988855032586,537.8829522887552,0.0,278.3393332454803,272.7325509936928,265.05477369414507,272.83614608591586,266.3452312832287,255.66468687316782
AT,Austria,1955,3,273.5749151363373,466.85164462138334,0.0,287.7301605278471,277.30211291405453,267.5357736812316,277.3031651315076,270.3840280841469,260.88158997446044
AT,Austria,1955,4,277.20094773319374,343.28871985647265,0.0,286.4649923538655,281.2375638415319,274.35536336914987,277.4749469929231,273.582374659319,268.31012223238935
AT,Austria,1955,5,283.60213402965155,176.83555904857263,2.244180848463934,296.9921635780553,288.0080591872161,277.7234583792917,284.9658850162458,279.35219887496953,272.4492707696976
AT,Austria,1955,6,289.5692194629352,63.7446320407989,21.36612465202404,301.08663122485586,294.39091357992544,283.37165466217084,289.6108015652383,284.7421753299791,277.53414489514705
AT,Austria,1955,7,291.09023091412,38.37989916181283,27.46418697592914,304.2067123743368,296.3475173193214,289.34759867500975,290.6074512964292,286.09427495082076,279.865911495425
AT,Austria,1955,8,290.49388106013777,56.841027288294484,34.03832201805976,304.2458329868032,296.0630750893082,283.4373487719571,291.06284134529255,285.4523047873879,278.78193780356037
AT,Austria,1955,9,283.4907285660943,163.38603695431922,0.7779153168436014,295.2188682377511,287.7090909919537,278.5535248308246,284.8421813721338,279.85854165547283,274.37650825015214
AT,Austria,1955,10,278.2342241964253,322.1563510700408,0.0009534770024432367,291.22792720991407,282.1857322508855,271.11090222610443,284.02876311324917,274.88578819030045,261.43594247017927
AT,Austria,1955,11,271.0659250807167,527.5221451448854,0.0,281.36829172396557,274.0576898059416,264.86328358648166,275.9664588125826,268.3389843722785,256.0589115801514
AT,Austria,1955,12,269.59895850756163,590.5820526278806,0.0,277.7578024872393,272.05814326428754,265.00011806134216,273.795109816685,267.3653074534922,259.493633424305
AT,Austria,1956,1,271.7683580691815,523.3224850221295,0.0,281.28050177834814,274.54865441011054,268.0291663064467,275.10100630069473,269.31559482652347,264.09343580071163
AT,Austria,1956,2,273.2833300203315,445.49554713149314,0.0,284.229647873251,276.9266119195169,268.7617443986937,277.0757544382968,270.37704256994755,262.44666932096493
AT,Austria,1956,3,274.95015413681176,425.2633934909471,0.014466615511702939,290.7605411087639,278.65011456591765,271.7253440526234,279.6458408141665,271.8510586637022,264.7325374531198
AT,Austria,1956,4,279.7481961822757,272.34844704018946,0.22237547625835064,291.85907429776984,283.7716556767833,273.7034154121185,281.9554236965057,276.0375346225761,269.53791664416156
AT,Austria,1956,5,285.27477689086163,139.0896898636493,4.466682582547935,299.05920027132254,289.987500366075,282.4639563901924,287.84701314137754,280.7052413142578,275.99353024657734
AT,Austria,1956,6,288.983207966098,72.25983814539936,17.71505627170443,301.4365406543729,294.01108303000905,284.5310425059462,288.636081511855,283.9531732611983,276.8318643562831
AT,Austria,1956,7,288.7585286683502,69.13638781523804,13.797418464272484,301.85479142213535,293.78069277254383,284.87319153745807,288.674318589113,283.96241281828765,277.97860002017546
AT,Austria,1956,8,289.6542539238186,50.198579921844285,17.255414382760115,301.41623853064857,294.7169270440687,286.90984092330893,288.90892387159795,285.1534901629179,279.6245136008803
AT,Austria,1956,9,283.06758590984793,171.28018878602302,0.16350783142137154,293.6081187303541,286.74731222761204,279.07807574826523,284.78886262309044,280.1044313316222,275.3445721664231
AT,Austria,1956,10,276.17860264232354,386.12673269084496,0.0,288.2046424477521,279.85599256214243,270.37409091305256,281.22752249033186,273.0591524401924,263.4565413755457
AT,Austria,1956,11,269.6503538252265,569.9892567893054,0.0,279.8406330316667,272.75356508387995,266.1100503216524,275.07042039912426,266.79594222745743,257.5044846327239
AT,Austria,1956,12,269.0517082176155,607.5468208604128,0.0,276.93515640728026,271.5753238414865,263.05713654093915,273.1284635059131,266.9076111341333,253.99305322453762
AT,Austria,1957,1,268.5933668047184,621.7955881869761,0.0,282.3757208545669,271.6309972587703,255.6920412314714,274.84982317391325,265.74791976483954,245.2463197540266
AT,Austria,1957,2,265.91906861758196,636.465971411765,0.0,278.72424923025136,269.5194442313244,259.62769882813814,271.35479239285416,262.4406389825044,250.43078923361008
AT,Austria,1957,3,275.5253817016481,406.12874299156385,0.001310438647139887,289.35184372524924,279.49967270995046,272.5639494901199,277.95898063355776,272.2917440229331,267.11043579683985
AT,Austria,1957,4,280.8319667467216,253.27905370233657,4.363685340073677,297.88739830061235,285.99191830525,275.9067443439221,285.65191763252227,276.235621940226,270.67725821851417
AT,Austria,1957,5,284.0748216450447,177.84040260841192,6.196284078020925,298.54198404590875,289.057637592271,278.48853148102273,285.8859589129959,279.19606202039773,272.0944515193788
AT,Austria,1957,6,287.4849163646799,86.53310866715839,7.501285900967636,300.6003321442196,291.8911742581303,283.2746937221693,287.9010435070991,283.09251071462415,277.4820058161987
