nuts0,country,year,hdd_annual,cdd_annual,tas_annual
AT,Austria,1950,3932.643884927661,58.85032290969174,278.65245134842326
AT,Austria,1951,4025.19387938027,47.400667061468646,278.2750958159107
AT,Austria,1952,3773.5050771694832,32.05178203325079,278.8747988844994
AT,Austria,1953,3750.3449507148075,49.81847829163296,279.06003220947275
AT,Austria,1954,3594.851857756675,41.20213689609904,279.4351853125983
AT,Austria,1955,3901.6283037953367,85.89168321626148,278.9110662482773
AT,Austria,1956,3732.057363157463,53.6349217320456,279.2170062211466
AT,Austria,1957,3777.875251328055,43.54032942549862,278.9876842157512
AT,Austria,1958,4129.591802747757,36.84759014448234,277.9546132113559
AT,Austria,1959,3413.1222141072726,59.52565191806982,280.11455784922464
AT,Austria,1960,4008.7930903219285,34.71625853877022,278.2932262153273
AT,Austria,1961,4211.693735549448,17.610365895829574,277.4738514456245
AT,Austria,1962,4079.4365738811275,23.755017569985746,277.9574709755846
AT,Austria,1963,3795.303785587618,38.8950692656233,278.8371534049347
AT,Austria,1964,3488.2308538274665,26.615811624055347,279.60453932256615
AT,Austria,1965,3727.6804033184544,42.68314018062189,279.13232386682307
AT,Austria,1966,3720.1417773447824,48.90250216871747,279.25754161065004
AT,Austria,1967,4027.415439475954,16.040016689138824,278.0029702030291
AT,Austria,1968,3867.8889117699914,13.350870692033824,278.4662000021242
AT,Austria,1969,3879.5048221890056,34.30551036415133,278.5890418198406
AT,Austria,1970,3797.8449870340564,24.253416174371154,278.7399123488793
AT,Austria,1971,3900.255042951155,58.2546507879069,278.6904137956026
AT,Austria,1972,3515.7371454263907,30.153187422107447,279.5958127550875
AT,Austria,1973,3586.7477486674934,26.36729169878589,279.38741835367557
AT,Austria,1974,3604.266194241934,50.06138046673336,279.4874117072781
AT,Austria,1975,3852.03984434048,37.9751838178207,278.72892070267847
AT,Austria,1976,3730.083016681344,34.89004318924998,279.1198349717623
AT,Austria,1977,3968.4601044430883,18.29608003827924,278.1702494452272
