scenario,ssp,sp_code,nuts0,country,year,hdd_annual,cdd_annual,tas_annual
KKO,SSP1,SP126,AT,Austria,2025,3187.6809766666665,75.43285250000001,7.935675099315068
KKO,SSP1,SP126,AT,Austria,2026,3293.199687083333,35.903954999999996,7.273760675799087
KKO,SSP1,SP126,AT,Austria,2027,3305.00748375,29.4539425,7.138930345890411
KKO,SSP1,SP126,AT,Austria,2028,3470.53848875,19.409915,6.492006509562842
KKO,SSP1,SP126,AT,Austria,2029,3134.59462625,31.07149,7.635363624429223
KKO,SSP1,SP126,AT,Austria,2030,3535.7673070833334,14.638825,6.184192602739727
KKO,SSP1,SP126,AT,Austria,2035,3231.5098758333334,18.327569999999994,7.238200490867579
KKO,SSP1,SP126,AT,Austria,2040,3272.57671125,52.782675000000005,7.527177953096539
KKO,SSP1,SP126,AT,Austria,2045,3499.03283875,48.21810000000001,6.823321434931508
KKO,SSP1,SP126,AT,Austria,2050,3220.8930858333333,35.3226625,7.422883506849315
KKO,SSP1,SP126,AT,Austria,2055,2718.753472916667,66.79534,9.121723
KKO,SSP1,SP126,AT,Austria,2060,2906.3159470833334,57.758645,8.612918674863387
KKO,SSP1,SP126,BE,Belgium,2025,2105.0209483333333,30.8380425,10.612030989726028
KKO,SSP1,SP126,BE,Belgium,2026,2168.4339841666665,25.38815,10.348770900684931
KKO,SSP1,SP126,BE,Belgium,2027,2063.84119125,23.411414999999998,10.644301888127854
KKO,SSP1,SP126,BE,Belgium,2028,2244.2351395833334,55.47306291666666,10.429807660519126
KKO,SSP1,SP126,BE,Belgium,2029,1996.4329554166666,56.8946325,11.175648996575342
KKO,SSP1,SP126,BE,Belgium,2030,2342.642314166667,11.6866275,9.588944461187214
KKO,SSP1,SP126,BE,Belgium,2035,2196.581780833333,20.0644775,10.21145344063927
KKO,SSP1,SP126,BE,Belgium,2040,2106.79654375,50.855865,10.96065706284153
KKO,SSP1,SP126,BE,Belgium,2045,2286.7567920833335,85.6495975,10.586558507990867
KKO,SSP1,SP126,BE,Belgium,2050,2100.3358125,19.4749875,10.456542407534247
KKO,SSP1,SP126,BE,Belgium,2055,1611.8451458333334,73.9704475,12.421924694063925
KKO,SSP1,SP126,BE,Belgium,2060,1872.5949908333334,44.853785,11.359521312613843
KKO,SSP1,SP126,BG,Bulgaria,2025,1998.7080445833333,449.0258783333333,13.586284904109588
KKO,SSP1,SP126,BG,Bulgaria,2026,2252.8709104166664,292.8724579166667,12.017363842465754
KKO,SSP1,SP126,BG,Bulgaria,2027,2132.30548,233.658625,12.096261439497717
KKO,SSP1,SP126,BG,Bulgaria,2028,2169.8166095833335,119.9072275,11.379504785974499
KKO,SSP1,SP126,BG,Bulgaria,2029,1846.5136270833334,214.0964825,12.990872097031964
KKO,SSP1,SP126,BG,Bulgaria,2030,1978.3005933333334,249.25615916666666,12.615092969178082
KKO,SSP1,SP126,BG,Bulgaria,2035,2248.98106375,242.5867825,11.73868959589041
KKO,SSP1,SP126,BG,Bulgaria,2040,2177.567683333333,252.448975,12.089715322176684
KKO,SSP1,SP126,BG,Bulgaria,2045,2268.3035466666665,225.87274708333334,11.77237683561644
KKO,SSP1,SP126,BG,Bulgaria,2050,1900.2161745833332,287.969185,13.018408666666666
KKO,SSP1,SP126,BG,Bulgaria,2055,2040.0314220833334,408.9175783333333,13.160693384703196
KKO,SSP1,SP126,BG,Bulgaria,2060,1945.0512183333333,444.68200375,13.54580803164845
KKO,SSP1,SP126,HR,Croatia,2025,1862.5632291666666,488.8980270833333,14.046478579908674
KKO,SSP1,SP126,HR,Croatia,2026,1924.2309854166667,282.89823,12.851884434931506
KKO,SSP1,SP126,HR,Croatia,2027,1897.6291695833334,244.81349833333334,12.759602962328769
KKO,SSP1,SP126,HR,Croatia,2028,2004.1492825,87.994485,11.507035477003644
KKO,SSP1,SP126,HR,Croatia,2029,1673.6304075,200.575445,13.330698025114154
KKO,SSP1,SP126,HR,Croatia,2030,1875.9123545833334,130.411115,12.232641417808221
KKO,SSP1,SP126,HR,Croatia,2035,1848.2024245833334,188.65658,12.680775026255708
KKO,SSP1,SP126,HR,Croatia,2040,1890.7333933333334,331.24222375,13.412502355418944
KKO,SSP1,SP126,HR,Croatia,2045,2075.77990875,254.01651916666668,12.438808819634705
KKO,SSP1,SP126,HR,Croatia,2050,1755.6241645833334,277.80985458333333,13.269240482876713
KKO,SSP1,SP126,HR,Croatia,2055,1481.5971879166666,416.5792054166667,14.769307188356164
KKO,SSP1,SP126,HR,Croatia,2060,1459.45070625,473.77165833333333,15.017641213570126
KKO,SSP1,SP126,CZ,Czechia,2025,2788.94504125,107.16171250000001,9.315101874429224
KKO,SSP1,SP126,CZ,Czechia,2026,2758.5092220833335,72.95877,9.193742928082193
KKO,SSP1,SP126,CZ,Czechia,2027,2836.9393933333336,58.295365,8.826560844748858
KKO,SSP1,SP126,CZ,Czechia,2028,2887.4151758333333,55.3370275,8.574128309426229
KKO,SSP1,SP126,CZ,Czechia,2029,2645.5323241666665,67.19058,9.454324211187215
KKO,SSP1,SP126,CZ,Czechia,2030,3080.77971875,20.904795,7.594851341324201
KKO,SSP1,SP126,CZ,Czechia,2035,2777.8609275,43.679590000000005,8.9366046586758
KKO,SSP1,SP126,CZ,Czechia,2040,2849.0281495833333,112.35723,9.294500004553734
KKO,SSP1,SP126,CZ,Czechia,2045,3055.0932233333333,85.9432525,8.47032430365297
KKO,SSP1,SP126,CZ,Czechia,2050,2675.7716225,66.1346375,9.329251880136987
KKO,SSP1,SP126,CZ,Czechia,2055,2286.166169166667,104.2461025,10.75177058675799
KKO,SSP1,SP126,CZ,Czechia,2060,2469.25419,71.68321,10.01052668032787
KKO,SSP1,SP126,DK,Denmark,2025,2482.357105833333,3.6493475,9.235164650684931
KKO,SSP1,SP126,DK,Denmark,2026,2320.558269166667,3.733435000000001,9.638771496575341
KKO,SSP1,SP126,DK,Denmark,2027,2426.073554583333,7.73058,9.495221301369863
KKO,SSP1,SP126,DK,Denmark,2028,2316.8221245833333,25.0803175,10.042420750227686
KKO,SSP1,SP126,DK,Denmark,2029,2364.22382625,10.927737500000001,9.789308944063926
KKO,SSP1,SP126,DK,Denmark,2030,2695.2370591666668,3.056187499999999,8.494051215753425
KKO,SSP1,SP126,DK,Denmark,2035,2470.1290433333334,6.964742500000001,9.26331819520548
KKO,SSP1,SP126,DK,Denmark,2040,2511.9162470833335,13.225347500000002,9.295785961976321
KKO,SSP1,SP126,DK,Denmark,2045,2652.71360125,6.3968324999999995,8.833066732876713
KKO,SSP1,SP126,DK,Denmark,2050,2212.2613995833335,14.356882500000001,10.147926663242009
KKO,SSP1,SP126,DK,Denmark,2055,2132.885999166667,12.878775000000001,10.345480734018265
KKO,SSP1,SP126,DK,Denmark,2060,2265.5089783333333,6.352677499999999,9.766644890710381
KKO,SSP1,SP126,EE,Estonia,2025,3537.042932083333,13.462867499999998,6.6147159200913235
KKO,SSP1,SP126,EE,Estonia,2026,3155.71521125,20.275419999999997,7.706314837899543
KKO,SSP1,SP126,EE,Estonia,2027,3389.9302379166666,57.983515,7.524453723744292
KKO,SSP1,SP126,EE,Estonia,2028,3227.219036666667,64.9154075,7.932680631830601
KKO,SSP1,SP126,EE,Estonia,2029,3350.99860875,12.396362499999999,7.104251744292237
