scenario,iso3c,SSP,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
default,ABW,SSP1,gdp,million constant 2017 Int$PPP,3941.8224981459002,3491.49647893603,3935.24206742296,4375.46289091734,5493.43015045083,5687.85780683273,5865.00939168554,5760.393637119,5565.3580647273,5444.85206829378,5366.31040282975,5376.92957758929,5463.90561443247,5619.49662530752,5873.59306364239,6211.28800867377,6621.71010366128,7087.19293752942,7608.12017976894,8166.08985773864
default,ABW,SSP2,gdp,million constant 2017 Int$PPP,3941.8224981459002,3491.49647893603,3935.24206742296,4375.46289091734,5493.43015045083,5658.66226461354,5485.82008370518,5216.65135393183,4957.80588251911,4743.1816466115,4587.15509794471,4447.75257506292,4390.9249832253,4414.5700339654,4483.2333778872,4614.67185982498,4827.91482188149,5102.85327912459,5408.85172029783,5811.39535589147
default,ABW,SSP3,gdp,million constant 2017 Int$PPP,3941.8224981459002,3491.49647893603,3935.24206742296,4375.46289091734,5493.43015045083,5353.09075415514,5064.7647008549,4756.2422198057,4419.06009825915,4113.22528560602,3826.08480637571,3572.76547053869,3357.16263107801,3147.33926533066,2973.61430323866,2800.58620061575,2645.87296941362,2507.51948401865,2393.98181884461,2304.44241071139
default,ABW,SSP4,gdp,million constant 2017 Int$PPP,3941.8224981459002,3491.49647893603,3935.24206742296,4375.46289091734,5493.43015045083,5370.33631685937,5163.60536299283,4979.07267926654,4849.17345261515,4763.29526156882,4766.28466606632,4847.07861018762,5013.96239485317,5324.98771364083,5716.24635437432,6199.78870533113,6751.75320776849,7429.14875232004,8160.42675590179,9010.12660816441
default,ABW,SSP5,gdp,million constant 2017 Int$PPP,3941.8224981459002,3491.49647893603,3935.24206742296,4375.46289091734,5493.43015045083,5761.04356757247,6076.36524237451,6087.04565068347,6098.7015600566,6191.00125629129,6416.52876592626,6758.24596051067,7289.43600125469,7963.11264401981,8854.31711464536,9993.8106599014,11251.3829353972,12783.1512496319,14512.7558295155,16431.5552005482
default,ABW,SSP1,pop,million,0.100028,0.101665,0.104339,0.106766,0.108761626168224,0.109577083534059,0.109984812216977,0.110290608729165,0.1093732191926,0.108659693997495,0.107436507948743,0.106621050582908,0.105907525387802,0.105092068021967,0.10468433933905,0.104276610656133,0.103970814143945,0.103257288948839,0.102237967241545,0.100708984680605
default,ABW,SSP2,pop,million,0.100028,0.101665,0.104339,0.106766,0.108761626168224,0.109573280094853,0.110384934021481,0.110283477280653,0.10977619357651,0.109471823354024,0.109674736835681,0.109268909872367,0.109674736835681,0.110689304243967,0.111298044688938,0.111703871652253,0.11261698231971,0.113225722764681,0.112819895801367,0.112718439060538
default,ABW,SSP3,pop,million,0.100028,0.101665,0.104339,0.106766,0.108761626168224,0.10949021168033,0.109692596544804,0.109186634383619,0.107668747900066,0.10655563114546,0.105543706823091,0.105037744661906,0.105138937094143,0.104936552229669,0.105442514390854,0.105442514390854,0.105746091687565,0.106049668984275,0.10655563114546,0.107263978171118
default,ABW,SSP4,pop,million,0.100028,0.101665,0.104339,0.106766,0.108761626168224,0.108843772411554,0.108535723999068,0.10750889595745,0.10637938511167,0.10473646024508,0.103504266595138,0.102374755749358,0.101347927707739,0.101450610511901,0.101245244903577,0.10083451368693,0.100218416861959,0.100013051253635,0.0991915888203405,0.0985754919953695
default,ABW,SSP5,pop,million,0.100028,0.101665,0.104339,0.106766,0.108761626168224,0.110383421153025,0.112005216137827,0.112613389257127,0.113120200189877,0.113120200189877,0.113322924562977,0.113221562376427,0.113728373309178,0.113829735495728,0.114336546428478,0.115147443920879,0.114944719547779,0.115046081734329,0.114640632988128,0.113627011122628
