iso3c,variable,sector,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,emp,agr,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,emp,man,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,emp,ser,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,fe,agr,-,0.0126,0.0122,0.0122,0.012,0.016,0.0157,0.0164,0.0181,0.0237,0.046,0.0427,0.0454,0.0398,0.0333,0.0358,0.0313,0.026,0.0306,0.0317,0.0309,0.0317,0.0262,0.0309,0.0256,0.0273,0.0274
ABW,fe,man,-,0.2402,0.29,0.3137,0.3674,0.3671,0.3311,0.333,0.325,0.3546,0.3442,0.3511,0.35,0.3579,0.3554,0.3711,0.3708,0.3709,0.3597,0.3623,0.3407,0.3226,0.3158,0.3061,0.2732,0.278,0.278
ABW,fe,ser,-,0.7472,0.6978,0.6741,0.6206,0.6169,0.6533,0.6506,0.6569,0.6216,0.6098,0.6062,0.6046,0.6023,0.6113,0.5931,0.5979,0.6031,0.6097,0.606,0.6283,0.6457,0.658,0.6631,0.7011,0.6947,0.6946
ABW,gdppc,,constant 2017 Int$PPP,36605.5961,38008.0567,38112.9397,38490.055,39369.3334,38550.6466,37659.3818,39251.2374,39195.548,38910.4168,41022.3216,38927.2343,36822.8753,36766.5545,38984.2184,38947.1996,39042.9639,39593.4735,39504.4815,35314.9129,33941.9539,34981.8954,34329.7742,35563.311,35458.6083,37276.0804
ABW,va,agr,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,va,man,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABW,va,ser,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,emp,agr,-,NA,0.6343,0.6365,0.644,0.6444,0.643,0.6468,0.6498,0.6521,0.6546,0.6584,0.663,0.6442,0.637,0.6327,0.6214,0.6128,0.6014,0.5929,0.5689,0.5457,0.5356,0.514,0.4982,0.4841,0.4707
AFG,emp,man,-,NA,0.1243,0.1221,0.1157,0.1148,0.1151,0.1108,0.1069,0.1033,0.0995,0.0948,0.0898,0.0999,0.1035,0.1061,0.1133,0.1179,0.122,0.1248,0.1363,0.1466,0.1475,0.1577,0.1633,0.1677,0.1717
AFG,emp,ser,-,NA,0.2414,0.2414,0.2403,0.2408,0.2419,0.2424,0.2433,0.2446,0.2459,0.2468,0.2472,0.2559,0.2595,0.2612,0.2653,0.2693,0.2766,0.2823,0.2948,0.3077,0.3169,0.3283,0.3385,0.3482,0.3576
AFG,fe,agr,-,0.0144,0.0143,0.0148,0.0143,0.0131,0.0136,0.0123,0.0156,0.0151,0.0146,0.0031,0.0032,0.0031,0.003,0.003,0.002,0.0025,0.0031,0.0027,0.0027,0.0024,0.011,0.0088,0.0015,0.0118,0.0115
AFG,fe,man,-,0.1219,0.1234,0.1179,0.124,0.1232,0.1378,0.1332,0.1298,0.1396,0.1524,0.19,0.1846,0.203,0.2017,0.2084,0.2039,0.1985,0.1988,0.2026,0.1692,0.1954,0.2018,0.1503,0.1612,0.2205,0.2163
AFG,fe,ser,-,0.8637,0.8623,0.8673,0.8617,0.8637,0.8485,0.8544,0.8546,0.8453,0.8329,0.8069,0.8122,0.794,0.7953,0.7886,0.7941,0.7991,0.7981,0.7947,0.828,0.8022,0.7871,0.8409,0.8373,0.7677,0.7722
AFG,gdppc,,constant 2017 Int$PPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189.7849,1235.8101,1200.2783,1286.7935,1315.7896,1460.8261,1484.1147,1758.904,1957.0293,1904.5598,2075.4917,2116.4655,2102.3852,2068.2659
AFG,va,agr,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5183,0.4984,0.4046,0.4278,0.3959,0.3914,0.3264,0.3772,0.3281,0.2912,0.3017,0.2869,0.2782,0.262
AFG,va,man,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0974,0.1005,0.1232,0.1251,0.1387,0.1286,0.1333,0.1131,0.1116,0.1178,0.1098,0.1097,0.1094,0.1138
AFG,va,ser,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3843,0.4011,0.4722,0.4471,0.4654,0.48,0.5403,0.5097,0.5603,0.591,0.5885,0.6034,0.61240000000000006,0.6243
AGO,emp,agr,-,NA,0.3983,0.399,0.4021,0.4009,0.3956,0.3898,0.3854,0.3816,0.3786,0.375,0.3722,0.3656,0.3645,0.3617,0.3811,0.4021,0.4221,0.4437,0.4651,0.4888,0.5122,0.5122,0.5118,0.5114,0.5115
AGO,emp,man,-,NA,0.0888,0.0876,0.0865,0.0856,0.0849,0.0846,0.0846,0.085,0.085,0.0857,0.0867,0.0879,0.0893,0.091,0.0884,0.0858,0.0832,0.0801,0.0775,0.0785,0.0796,0.0794,0.0786,0.0773,0.0757
AGO,emp,ser,-,NA,0.5129,0.5134,0.5114,0.5135,0.5195,0.5256,0.53,0.5334,0.5364,0.5393,0.5411,0.5465,0.5462,0.5473,0.5305,0.5121,0.4947,0.4763,0.4574,0.4327,0.4082,0.4084,0.4096,0.4113,0.4128
AGO,fe,agr,-,0.002,0.0013,8e-4,6e-4,6e-4,4e-4,4e-4,2e-4,2e-4,4e-4,2e-4,2e-4,3e-4,3e-4,3e-4,3e-4,5e-4,6e-4,7e-4,8e-4,8e-4,9e-4,8e-4,0.0011,0.001,8e-4
AGO,fe,man,-,0.1812,0.1703,0.1736,0.1974,0.1592,0.1686,0.1685,0.1598,0.15,0.1429,0.1656,0.1665,0.1751,0.1644,0.1626,0.1471,0.1467,0.1501,0.1299,0.1352,0.1344,0.1292,0.1313,0.1081,0.1007,0.1219
