scenario,iso3c,SSP,variable,sector,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
default,ABW,SSP1,emp,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP1,emp,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP1,emp,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP1,fe,agr,0.0313,0.0317,0.0274,0.0268,0.0258,0.0257,0.0256,0.0257,0.0258,0.0258
default,ABW,SSP1,fe,man,0.3708,0.3226,0.278,0.273,0.2598,0.2579,0.2559,0.2574,0.2593,0.2603
default,ABW,SSP1,fe,ser,0.5979,0.6457,0.6946,0.7003,0.7144,0.7164,0.7185,0.7169,0.715,0.7139
default,ABW,SSP1,va,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP1,va,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP1,va,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,emp,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,emp,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,emp,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,fe,agr,0.0313,0.0317,0.0274,0.0268,0.0258,0.0257,0.0259,0.0261,0.0263,0.0265
default,ABW,SSP2,fe,man,0.3708,0.3226,0.278,0.273,0.2598,0.2582,0.2609,0.2642,0.2672,0.2697
default,ABW,SSP2,fe,ser,0.5979,0.6457,0.6946,0.7003,0.7144,0.7161,0.7133,0.7097,0.7066,0.7038
default,ABW,SSP2,va,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,va,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP2,va,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,emp,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,emp,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,emp,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,fe,agr,0.0313,0.0317,0.0274,0.0268,0.0258,0.0259,0.0262,0.0264,0.0268,0.0271
default,ABW,SSP3,fe,man,0.3708,0.3226,0.278,0.273,0.2598,0.262,0.2658,0.2694,0.2729,0.2762
default,ABW,SSP3,fe,ser,0.5979,0.6457,0.6946,0.7003,0.7144,0.7121,0.7081,0.7042,0.7004,0.6966
default,ABW,SSP3,va,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,va,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP3,va,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP4,emp,agr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP4,emp,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP4,emp,ser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
default,ABW,SSP4,fe,agr,0.0313,0.0317,0.0274,0.0268,0.0258,0.0259,0.026,0.0262,0.0262,0.0262
