STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1990,,120.297,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1991,,123.367,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1992,,122.492,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1993,,121.427,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1994,,124.8,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1995,,125.939,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1996,,129.481,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1997,,123.993,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1998,,130.225,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1999,,124.683,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2000,,126.723,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2001,,126.067,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2002,,126.864,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2003,,128.249,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2004,,128.782,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2005,,125.64,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,CO2,"Gross CO2 emissions, million tonnes",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2006,,123.884,,,,T_CO2E,Tonnes of CO2-equivalent,0,Units,2,Two
