STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,1995,,128.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,1996,,141.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,1997,,103.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,1998,,119.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,1999,,156.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2000,,183.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2001,,197.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2002,,206.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2003,,221.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2004,,266.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2005,,318.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2006,,387.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2007,,466.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2008,,491.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2009,,501.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2010,,543.4,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2011,,577.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2012,,512.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2013,,554.1,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2014,,591.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2015,,648.9,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2016,,683.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2017,,767.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2018,,873.2,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CP_MEUR,"Current prices, million euro",C,Manufacturing,B1G,"Value added, gross",AL,Albania,2019,,969.7,,,,,
