STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,cpa2_1,Statistical Classification of Products by Activity (CPA 2.1),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2010,,6.2,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2011,,7.0,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2012,,6.2,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2013,,6.8,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2014,,6.9,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2015,,7.2,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2016,,8.0,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2017,,8.8,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2018,,7.7,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2019,,8.5,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2020,,8.2,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2021,,8.5,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2022,,6.8,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2023,,4.6,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2024,,4.1,,e,estimated,,
dataflow,ESTAT:STS_COBP_A(1.0),Building permits by type of building - annual data,A,Annual,BPRM_SQM,Building permits - m2 of useful floor area,CPA_F41001,Residential buildings,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),MIO_M2,Million square metres,AT,Austria,2025,,3.8,,e,estimated,,
