STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,1995,,700,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,1996,,810,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,1997,,640,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,1998,,750,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,1999,,1000,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2000,,1260,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2001,,1480,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2002,,1570,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2003,,1680,,,,,
dataflow,ESTAT:NAMA_10_PC(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2004,,1970,,,,,
