STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1990,,41647.81322,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1991,,42250.18247,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1992,,42721.83244,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1993,,42147.29712,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1994,,43378.35293,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1995,,44320.8149,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1996,,44818.07374,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1997,,46408.65061,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1998,,47217.06575,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,1999,,48779.88619,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2000,,50469.49154,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2001,,50845.90664,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2002,,51483.57531,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2003,,51802.39381,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,BEL,Belgium,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",BAU1,"Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs",A,Annual,2004,,53420.66836,,,,USD_PPP_PS,"US dollars per person, PPP converted",0,Units,2,Two
