STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,projection,Type of projection,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2026,,9219116,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2027,,9234675,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2028,,9251146,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2029,,9268632,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2030,,9286656,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2031,,9305254,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2032,,9324326,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2033,,9342519,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2034,,9359994,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2035,,9376463,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2036,,9390901,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2037,,9405701,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2038,,9419336,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2039,,9431715,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2040,,9443147,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2041,,9453202,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2042,,9461936,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2043,,9469371,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2044,,9475563,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2045,,9480586,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2046,,9484760,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2047,,9487712,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2048,,9489143,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2049,,9488705,,,,,
dataflow,ESTAT:PROJ_25NP(1.0),"Population on 1st January by age, sex and type of projection",A,Annual,T,Total,TOTAL,Total,BSL,Baseline projections,PER,Person,AT,Austria,2050,,9486695,,,,,
