freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,BPRM_DW,CPA_F41001,NSA,I15,FI,,,,55.7,76.3,97.2,101.8,115.9,107.9,90.5,93.2,108.6,104.5,114.1,110.6,99.8,79.8,83.5,102.8,108.1,100.0,82.6,91.0,100.0,124.8,150.4,135.1,119.5,127.2,140.8,115.1,,,
A,BPRM_DW,CPA_F41001,NSA,I15,NO,,,,70.9,68.3,80.0,72.6,72.0,74.3,79.8,73.2,73.4,96.9,101.2,107.3,105.1,82.7,62.7,68.0,89.0,97.2,97.0,87.1,100.0,116.9,113.7,101.5,102.5,96.5,97.5,,,,
A,BPRM_DW,CPA_F41001,NSA,I21,FI,,,,39.6,54.2,69.0,72.3,82.3,76.7,64.3,66.2,77.1,74.2,81.1,78.6,70.9,56.7,59.3,73.0,76.8,71.0,58.7,64.6,71.0,88.6,106.8,96.0,84.9,90.3,100.0,81.7,,,
A,BPRM_DW,CPA_F41001,NSA,I21,NO,,,,72.7,70.0,82.0,74.4,73.8,76.2,81.8,75.1,75.3,99.4,103.8,110.1,107.8,84.8,64.3,69.7,91.2,99.7,99.5,89.4,102.6,119.9,116.6,104.1,105.1,99.0,100.0,,,,
A,BPRM_DW,CPA_F41001,NSA,PCH_SM,FI,,,,,36.9,27.3,4.8,13.8,-6.8,-16.2,3.0,16.5,-3.8,9.3,-3.1,-9.8,-20.0,4.6,23.1,5.2,-7.6,-17.3,10.1,9.9,24.8,20.5,-10.1,-11.6,6.4,10.7,-18.3,,,
A,BPRM_DW,CPA_F41001,NSA,PCH_SM,NO,,,,,-3.7,17.1,-9.3,-0.8,3.3,7.3,-8.2,0.3,32.0,4.4,6.1,-2.1,-21.3,-24.2,8.4,30.8,9.3,-0.2,-10.2,14.8,16.9,-2.8,-10.7,1.0,-5.8,1.0,,,,
A,BPRM_DW,CPA_F410011,NSA,I15,AL,,,,,,,,,,,,,,,,,,,,,,,,100.0,666.7,1105.6,1611.1,1066.7,1255.6,2355.6,2438.9,,,
A,BPRM_DW,CPA_F410011,NSA,I15,AT,,,,,,,,,89.5,81.6,98.9,92.7,100.5,101.1,108.8,106.8,102.4,96.0,105.6,109.0,95.4,95.7,100.2,100.0,106.5,104.7,107.9,107.7,113.4,124.3,100.9,,,
A,BPRM_DW,CPA_F410011,NSA,I15,BA,,,,,,,,,,,,,,,,,,,,,,95.9,86.7,100.0,115.0,128.8,129.5,138.6,118.2,128.2,138.0,158.8,,
A,BPRM_DW,CPA_F410011,NSA,I15,BE,,,,145.0,170.3,172.9,124.2,144.6,128.4,120.8,113.1,120.1,132.4,147.5,142.2,127.6,128.5,116.5,130.4,111.8,116.8,111.9,116.9,100.0,106.1,101.2,125.9,127.0,131.7,148.4,135.1,,,
A,BPRM_DW,CPA_F410011,NSA,I15,BG,,,,,,,,,28.2,37.8,45.9,67.8,108.3,157.0,190.1,204.3,201.4,142.6,111.9,111.9,101.1,96.9,99.4,100.0,104.3,126.4,126.9,131.0,132.9,161.5,187.0,191.9,,
A,BPRM_DW,CPA_F410011,NSA,I15,CY,,,,,,,,,207.9,240.7,252.0,346.5,431.3,465.1,461.4,429.0,383.1,381.2,337.1,228.2,168.9,123.5,97.8,100.0,123.7,140.8,177.0,198.1,190.0,217.3,193.1,,,
A,BPRM_DW,CPA_F410011,NSA,I15,CZ,,,,,,,,,114.6,111.9,116.3,139.5,142.8,139.7,153.8,154.6,166.4,138.2,121.9,125.4,106.5,91.5,90.8,100.0,114.5,133.7,138.2,143.2,139.4,152.4,144.8,,,
A,BPRM_DW,CPA_F410011,NSA,I15,DE,,,164.2,141.5,156.3,173.5,191.1,198.6,165.7,143.6,144.1,163.2,141.5,127.6,126.5,82.6,77.0,78.6,82.5,98.7,92.9,93.9,92.5,100.0,100.3,95.3,94.3,95.4,97.7,98.6,82.0,,,
A,BPRM_DW,CPA_F410011,NSA,I15,DK,,,,,,,119.6,108.8,101.7,120.5,145.9,151.7,165.2,201.4,226.5,158.0,99.2,52.5,87.6,82.6,62.7,60.7,71.5,100.0,121.1,123.6,137.7,138.8,153.9,193.9,152.0,,,
A,BPRM_DW,CPA_F410011,NSA,I15,EA19,,,,,,,,,,,,,,268.2,278.3,233.0,171.0,129.2,131.3,130.5,110.4,97.9,93.6,100.0,107.7,114.2,117.3,115.8,107.8,122.6,120.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,EA20,,,,,,,,,,,,,,268.2,278.2,233.0,171.1,129.4,131.5,130.6,110.5,98.0,93.6,100.0,107.7,114.3,117.4,116.0,107.9,122.8,120.5,,,
A,BPRM_DW,CPA_F410011,NSA,I15,EE,,,,,,,,43.2,41.0,50.3,101.4,128.9,217.7,217.8,295.6,254.3,162.0,90.3,75.7,68.5,69.3,84.3,88.6,100.0,115.9,137.7,125.9,136.7,142.5,187.4,150.4,129.1,,
A,BPRM_DW,CPA_F410011,NSA,I15,EL,,,,670.9,778.8,803.5,810.4,673.2,707.6,825.8,854.5,846.9,827.4,965.1,849.8,796.5,665.7,574.3,483.5,338.0,207.3,129.4,102.2,100.0,95.4,109.1,113.0,117.9,139.0,193.3,182.9,,,
A,BPRM_DW,CPA_F410011,NSA,I15,ES,,,,460.8,440.1,528.5,620.1,712.6,766.7,697.6,693.9,804.1,877.0,967.8,1066.4,828.4,413.0,208.3,188.6,169.4,118.8,92.8,87.1,100.0,127.1,142.8,163.7,162.3,108.8,124.0,212.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,EU27_2020,,,,,,,,,,,,,,249.3,260.4,220.9,165.2,125.6,127.8,126.2,106.6,95.0,92.2,100.0,109.5,116.1,118.9,118.4,112.2,129.9,123.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,FI,,,,111.9,125.6,164.8,192.5,216.7,209.7,182.9,203.9,244.2,258.3,279.0,276.3,250.2,192.2,167.8,207.8,193.5,163.5,131.9,112.8,100.0,106.1,108.7,106.4,94.8,101.2,130.8,98.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,FR,,,105.9,93.9,106.3,109.7,135.4,138.9,141.0,137.3,137.8,145.4,160.3,170.3,176.4,170.0,144.1,118.4,143.6,143.7,128.9,114.0,95.6,100.0,110.1,118.6,109.5,110.9,101.9,128.2,118.2,84.0,,
A,BPRM_DW,CPA_F410011,NSA,I15,HR,,,,,,,,,201.5,234.3,238.1,237.5,227.8,258.9,245.4,222.4,229.0,245.4,206.4,193.7,156.0,121.1,109.6,100.0,123.9,164.1,170.7,181.2,181.5,204.7,232.6,243.0,,
A,BPRM_DW,CPA_F410011,NSA,I15,HU,,,,,,,293.0,361.9,447.8,405.5,404.6,454.7,402.9,338.9,331.9,304.8,255.9,188.3,113.5,111.7,97.4,70.9,80.2,100.0,182.8,195.6,197.2,214.0,179.8,254.9,208.2,,,
A,BPRM_DW,CPA_F410011,NSA,I15,IE,,,,,,,,622.4,720.3,592.5,498.1,484.0,678.8,738.0,585.4,613.0,466.4,261.6,113.2,88.8,52.6,58.6,64.6,100.0,120.2,150.6,194.8,190.9,172.8,163.1,170.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,IT,,,,,,,,,193.6,187.6,187.2,195.2,202.4,203.0,203.8,183.7,166.2,143.0,148.6,151.6,133.2,111.6,104.8,100.0,98.3,101.6,105.6,103.2,87.0,109.6,109.8,,,
A,BPRM_DW,CPA_F410011,NSA,I15,LT,,,,,,,,28.8,31.4,32.2,38.3,47.1,64.6,88.1,115.5,132.3,122.8,93.9,90.5,75.0,84.3,105.2,95.7,100.0,114.4,104.4,108.5,103.9,127.1,165.7,116.2,92.1,,
A,BPRM_DW,CPA_F410011,NSA,I15,LU,,,,,,,,,95.9,85.7,83.3,85.1,93.7,114.7,119.3,121.9,98.9,83.6,111.4,122.4,111.4,119.2,140.1,100.0,111.2,123.7,117.8,128.4,143.0,146.0,132.2,,,
A,BPRM_DW,CPA_F410011,NSA,I15,LV,,,,,,,,,88.4,107.7,124.1,167.6,251.8,302.2,358.1,310.2,220.5,120.4,83.4,83.9,98.4,98.8,103.4,100.0,92.0,130.0,137.4,146.4,136.6,162.4,159.8,145.8,,
A,BPRM_DW,CPA_F410011,NSA,I15,ME,,,,,,,,,59.2,61.3,107.0,89.4,119.7,100.0,167.6,150.7,250.7,279.6,110.6,86.6,147.9,156.3,162.0,100.0,179.6,183.8,38.7,21.1,22.5,40.1,105.6,,,
A,BPRM_DW,CPA_F410011,NSA,I15,MK,,,,,,,,,,,,,,,,,101.9,89.6,80.4,61.1,71.6,72.8,97.6,100.0,101.0,107.6,84.1,109.3,80.9,111.0,105.0,103.4,,
A,BPRM_DW,CPA_F410011,NSA,I15,MT,,,,,,,,,288.7,147.6,178.3,178.1,161.8,173.1,161.6,122.4,73.2,76.5,79.5,76.2,64.5,72.2,80.4,100.0,133.8,139.6,188.0,197.4,123.7,126.5,148.0,,,
A,BPRM_DW,CPA_F410011,NSA,I15,NL,,,,,,,,,202.6,156.7,169.6,179.6,194.4,201.6,214.6,187.1,180.8,144.5,112.9,110.7,58.3,35.3,65.8,100.0,105.9,136.2,136.4,115.1,126.1,134.1,101.0,85.8,,
A,BPRM_DW,CPA_F410011,NSA,I15,NO,,,,,,,,,101.8,93.4,80.5,71.8,83.3,95.6,97.1,96.1,95.8,90.0,84.9,97.6,100.9,102.3,92.4,100.0,110.5,101.3,95.7,86.9,85.2,93.9,82.9,61.6,,
A,BPRM_DW,CPA_F410011,NSA,I15,PL,,,,,,,,,96.1,109.9,52.5,83.4,75.2,75.2,93.0,136.7,139.1,123.6,121.5,117.7,103.6,91.5,89.3,100.0,112.4,125.2,134.8,143.4,151.0,189.2,141.8,,,
A,BPRM_DW,CPA_F410011,NSA,I15,PT,,,,464.6,466.9,510.6,567.4,623.2,626.9,622.1,609.0,540.6,489.0,483.3,458.9,418.5,343.8,250.4,231.9,192.0,134.6,94.7,87.2,100.0,119.5,143.9,183.5,196.0,204.3,229.5,239.0,211.3,,
A,BPRM_DW,CPA_F410011,NSA,I15,RO,,,,,,,,,84.2,93.1,82.1,73.9,92.3,117.0,136.3,148.4,159.5,129.8,111.6,104.5,99.5,99.3,97.7,100.0,97.2,101.3,106.1,106.4,104.5,129.9,110.5,89.0,,
A,BPRM_DW,CPA_F410011,NSA,I15,RS,,,,,,,,,59.2,79.3,52.8,76.3,76.1,82.6,78.6,114.8,116.9,104.3,81.7,86.6,89.7,83.3,81.1,100.0,88.9,127.6,129.1,134.2,149.6,208.1,210.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,SE,,,,,37.8,47.3,54.6,65.7,73.8,64.6,67.4,84.2,94.4,106.2,123.1,118.3,94.6,80.3,92.2,77.9,59.8,64.6,82.7,100.0,124.0,121.6,101.2,105.2,113.1,148.5,121.3,,,
A,BPRM_DW,CPA_F410011,NSA,I15,SI,,,,,,,,,120.8,106.6,108.6,116.4,117.6,135.2,150.8,163.7,150.9,133.3,111.1,101.5,94.7,102.9,95.1,100.0,105.3,109.0,112.0,101.7,100.0,111.8,116.3,104.9,,
A,BPRM_DW,CPA_F410011,NSA,I15,SK,,,,,,,,,,,,63.6,79.8,70.2,73.6,89.6,122.0,99.6,87.7,86.3,83.6,82.4,85.8,100.0,115.8,123.5,132.2,126.3,120.6,128.4,117.7,,,
A,BPRM_DW,CPA_F410011,NSA,I15,TR,223.4,228.3,225.8,208.4,184.2,187.1,167.5,138.1,113.8,115.0,69.6,70.2,102.6,154.7,133.7,112.8,103.6,88.4,116.1,92.8,87.4,104.1,111.4,100.0,98.2,115.0,97.7,71.5,144.0,243.0,230.5,249.3,,
A,BPRM_DW,CPA_F410011,NSA,I15,UK,,,,,,,118.4,118.8,113.4,111.9,106.0,102.7,100.9,91.8,89.1,91.5,55.3,43.3,56.1,64.9,60.2,75.4,79.5,100.0,109.1,114.3,120.7,115.8,,,,,,
A,BPRM_DW,CPA_F410011,NSA,I21,AL,,,,,,,,,,,,,,,,,,,,,,,,4.2,28.3,46.9,68.4,45.3,53.3,100.0,103.5,142.5,68.4,73.1
A,BPRM_DW,CPA_F410011,NSA,I21,AT,,,,,,,,,72.0,65.7,79.6,74.6,80.9,81.4,87.6,86.0,82.4,77.2,85.1,88.1,77.1,77.6,81.1,81.0,86.2,84.9,87.7,88.1,91.3,100.0,80.4,50.4,43.7,47.9
A,BPRM_DW,CPA_F410011,NSA,I21,BA,,,,,,,,,,,,,,,,,,,,,,74.8,67.7,78.0,89.7,100.4,101.0,108.1,92.2,100.0,107.7,123.8,,
