country,year,scenario,total_floor_m2,thermal_index,ln_total_floor,ln_thermal_index,hist_method,share_0-1945,share_1946-1969,share_1970-1979,share_1980-1989,share_1990-1999,share_2000-2010,share_2011-2020,share_post-2020,share_ren_0-1945,share_ren_1946-1969,share_ren_1970-1979,share_ren_1980-1989,share_ren_1990-1999,share_ren_2000-2010
Austria,2010,HIST,477470472.96699196,186.37570890937897,19.98401288134912,5.233115739787874,permits,0.2350548111064804,0.2727701965116362,0.15601800491907594,0.12452195300281128,0.14209434057441758,0.06954069388557856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2011,HIST,477610765.90503275,186.0724828608523,19.984306663559565,5.231496150635233,permits,0.23428080902793266,0.27214469310366357,0.15581620416042932,0.12442313335320515,0.1420526019162021,0.06952026706743489,0.0017622913711322905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2012,HIST,477861284.3204326,185.73875809176963,19.98483105026571,5.229710624566543,permits,0.23345551352924593,0.27145801741207054,0.15557878311609694,0.12429572566772616,0.1419781309475274,0.06948382112022099,0.003750008207112108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2013,HIST,478004813.909023,185.43632845377866,19.985131363436427,5.228089778400198,permits,0.2326852580471298,0.27083375421941003,0.15537653570553986,0.12419627442678273,0.1419354994464823,0.0694629573465332,0.005509720808122107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2014,HIST,478231409.40926594,185.11124489386765,19.985605295501504,5.2263445857554105,permits,0.23187728214830663,0.27016401697444836,0.15514761231465427,0.12407535906171656,0.14186824759964303,0.06943004442350345,0.007437437477727637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2015,HIST,478473188.5176388,184.7828265059463,19.986110737021363,5.224578392107533,permits,0.23106483102207026,0.26948744436781985,0.1549141448699654,0.12395065573865606,0.14179655961537516,0.06939496046344498,0.009391403922668278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2016,HIST,478757298.38246375,184.44348409771186,19.986704345094783,5.222750167689922,permits,0.2302349266454474,0.26878886687131875,0.1546673916570117,0.12381516091277853,0.14171241301015142,0.06935377927852432,0.011427461624767796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2017,HIST,479151613.06635916,184.0743304508551,19.987527627351856,5.220757530604693,permits,0.22935531995050826,0.26803053349490197,0.15438556903021605,0.12365141140246516,0.1415957917073814,0.06929670503979192,0.013684669374735196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2018,HIST,479656128.4711745,183.67569302531115,19.98858000819625,5.218601276083061,permits,0.22842673553302165,0.26721311444240503,0.15406895889375027,0.12345959079800699,0.1414468573897879,0.06922381687445783,0.016160926068570374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2019,HIST,480012903.45664924,183.31954000313306,19.98932354578952,5.216670881861688,permits,0.22757218393011017,0.2664804762812395,0.15380049096302595,0.12330614415551952,0.14134172542327764,0.06917236549454274,0.018326613752284455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2020,HIST,480479871.0,182.93404586765718,19.990295895798994,5.214577246980301,permits,0.22666895862532396,0.26568904694032436,0.15349736472102907,0.12312471254388928,0.1412043585900813,0.06910513843357238,0.020710420145779635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2021,HIST,480907695.05809957,182.52598867291735,19.991185909567747,5.212356285111703,permits,0.22578790794953243,0.26492177985758397,0.1532074499184271,0.12295367101550839,0.14107874067559553,0.06904366127056585,0.02069199578683765,0.0023147935259490954,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2022,HIST,481377825.38327146,182.10639561744227,19.99216302156125,5.210067380712396,permits,0.2248906934395115,0.2641337219381077,0.15290476437253828,0.12277217338933599,0.14094095827114878,0.06897623082983388,0.020671787264145567,0.004709670495378322,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2023,HIST,481618745.24495065,181.75809875774982,19.992663376128554,5.208163413695839,permits,0.22410386191069676,0.26347359129276426,0.15267544863527197,0.12264940375767888,0.14087045545848448,0.0689417268904529,0.020661446628160135,0.006624065426490629,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2024,HIST,481562572.4392028,181.501140328647,19.99254673598061,5.206756421379173,permits,0.22345761293404737,0.26297731603446645,0.1525405645030734,0.12260237858143994,0.14088688756758713,0.06894976873268521,0.02066385672291072,0.007921614923789783,0.0,0.0,0.0,0.0,0.0,0.0
Austria,2025,KKO,483004171.0051699,179.91628728719573,19.995535849271405,5.198034423103453,,0.21212229808207647,0.2616680358558573,0.15193319897024093,0.12217533512314778,0.14046638946990336,0.06874397778160098,0.0206021823357991,0.012288582381374135,0.01,0.0,0.0,0.0,0.0,0.0
