,carrier,country,year,Energy_TJ,Total_Energy_TJ,share_pu
0,Ambient heat (heat pumps),Austria,2010,3562.776,251955.00699999998,0.014140524700904237
1,Ambient heat (heat pumps),Austria,2011,3662.7070000000003,232075.45799999998,0.01578239694780652
2,Ambient heat (heat pumps),Austria,2012,3933.889,237258.52899999998,0.01658060098652976
3,Ambient heat (heat pumps),Austria,2013,4171.545,247036.708,0.01688633658443991
4,Ambient heat (heat pumps),Austria,2014,4383.219,221009.108,0.01983275277505758
5,Ambient heat (heat pumps),Austria,2015,5727.472,235991.944,0.024269777615798613
6,Ambient heat (heat pumps),Austria,2016,6062.367,245729.06699999998,0.024670939722405735
7,Ambient heat (heat pumps),Austria,2017,6207.586,246863.39400000003,0.025145834298948348
8,Ambient heat (heat pumps),Austria,2018,7115.801,229236.55699999997,0.03104130114814105
9,Ambient heat (heat pumps),Austria,2019,7222.445,234277.489,0.03082859147427519
10,Ambient heat (heat pumps),Austria,2020,9626.642,239238.75699999998,0.040238639093079724
11,Ambient heat (heat pumps),Austria,2021,12046.625,270183.403,0.04458684310819788
12,Ambient heat (heat pumps),Austria,2022,11524.984,242948.83000000002,0.047437906986421786
13,Ambient heat (heat pumps),Austria,2023,15838.650000000001,245400.577,0.06454202428383043
14,Ambient heat (heat pumps),Austria,2024,15811.145,232731.27000000002,0.06793734679486774
15,Ambient heat (heat pumps),Belgium,2010,0.0,0.0,
16,Ambient heat (heat pumps),Belgium,2011,0.0,0.0,
17,Ambient heat (heat pumps),Belgium,2012,0.0,0.0,
18,Ambient heat (heat pumps),Belgium,2013,0.0,0.0,
19,Ambient heat (heat pumps),Belgium,2014,0.0,0.0,
20,Ambient heat (heat pumps),Belgium,2015,0.0,0.0,
21,Ambient heat (heat pumps),Belgium,2016,2248.6,294464.343,0.007636238659972491
22,Ambient heat (heat pumps),Belgium,2017,2646.6,289962.632,0.009127383007062785
23,Ambient heat (heat pumps),Belgium,2018,3198.2000000000003,287462.069,0.011125641762496325
24,Ambient heat (heat pumps),Belgium,2019,3808.7,279942.452,0.013605296277107696
25,Ambient heat (heat pumps),Belgium,2020,4412.0,267472.39999999997,0.016495159874439384
26,Ambient heat (heat pumps),Belgium,2021,6461.6,295003.682,0.021903455428735973
27,Ambient heat (heat pumps),Belgium,2022,8789.7,250786.81800000003,0.03504849285978021
28,Ambient heat (heat pumps),Belgium,2023,10279.4,249045.126,0.04127525065477491
29,Ambient heat (heat pumps),Bulgaria,2010,0.0,66910.995,0.0
30,Ambient heat (heat pumps),Bulgaria,2011,0.0,71210.321,0.0
31,Ambient heat (heat pumps),Bulgaria,2012,0.0,70572.965,0.0
32,Ambient heat (heat pumps),Bulgaria,2013,0.0,66716.084,0.0
