year,country,gdp_Bn.USD,industry_va_MioEUR,industry_va_PerUnit,gdp_X_industry_va_PerUnit_MrdEUR,industry_va_MrdEUR
1990,Austria,330.08301373960563,,,,
1990,Belgium,414.303366689278,,,,
1990,Bulgaria,,,,,
1990,Croatia,,,,,
1990,Czechia,320.58081820910155,,,,
1990,Denmark,235.44725060940237,,,,
1990,Estonia,,,,,
1990,Finland,193.01868428968976,54287.2,,,54.2872
1990,France,2258.328086873846,399014.1,,,399.0141
1990,Germany,3365.0811326494413,,,,
1990,Greece,270.4735214975018,,,,
1990,Hungary,,,,,
1990,Ireland,107.21172130610009,,,,
1990,Italy,2424.9681918726287,,,,
1990,Latvia,,,,,
1990,Lithuania,,,,,
1990,Luxembourg,30.818157361876,,,,
1990,Netherlands,642.2633496767738,,,,
1990,Norway,241.4749745822434,37587.2,,,37.587199999999996
1990,Poland,492.8441074440557,,,,
1990,Portugal,271.7922951727642,,,,
1990,Romania,,,,,
1990,Slovakia,,,,,
1990,Slovenia,50.580356422050265,,,,
1990,Spain,1219.3053721346537,,,,
1990,Sweden,342.35730701778647,,,,
1991,Austria,340.9724986818796,,,,
1991,Belgium,421.9515160733282,,,,
1991,Bulgaria,,,,,
1991,Croatia,,,,,
1991,Czechia,274.91907728200795,,,,
1991,Denmark,238.60209844401862,,,,
1991,Estonia,,,,,
1991,Finland,181.55473895959238,45110.3,,,45.1103
1991,France,2276.4213340609194,405862.9,,,405.8629
1991,Germany,3539.1560542635307,878868.7,,,878.8687
1991,Greece,280.6648083856045,,,,
1991,Hungary,194.54029231741828,,,,
1991,Ireland,109.0946613025925,,,,
1991,Italy,2461.8428435786877,,,,
1991,Latvia,,,,,
1991,Lithuania,,,,,
1991,Luxembourg,33.47651190306401,,,,
1991,Netherlands,657.8884345715632,,,,
1991,Norway,248.6747091412389,37807.2,,,37.807199999999995
1991,Poland,459.0706679061408,,,,
1991,Portugal,283.5924526781081,,,,
1991,Romania,,,,,
1991,Slovakia,,,,,
1991,Slovenia,46.07618886996,,,,
1991,Spain,1249.0044389558534,,,,
1991,Sweden,338.66292704256085,,,,
1992,Austria,348.23077638129297,,,,
1992,Belgium,428.1580765481827,,,,
1992,Bulgaria,,,,,
1992,Croatia,,,,,
1992,Czechia,257.3294133615013,,,,
1992,Denmark,243.36850852783016,,,,
1992,Estonia,,,,,
1992,Finland,175.621115635117,38510.299999999996,,,38.510299999999994
1992,France,2308.940614793679,421427.2,,,421.4272
1992,Germany,3595.531072430359,917321.5,,,917.3215
1992,Greece,283.1560395476776,,,,
1992,Hungary,188.66095493289413,,,,
1992,Ireland,112.66438624490452,,,,
1992,Italy,2479.375734129566,,,,
1992,Latvia,,,,,
1992,Lithuania,,,,,
1992,Luxembourg,34.080154395024,,,,
1992,Netherlands,668.5757149781189,,,,
1992,Norway,257.5556654728815,38429.9,,,38.4299
1992,Poland,471.378359884321,,,,
1992,Portugal,286.31776753356365,,,,
1992,Romania,,,,,
1992,Slovakia,73.85266322184131,,,,
1992,Slovenia,43.6657113237504,,,,
1992,Spain,1263.1842264649954,,,,
1992,Sweden,334.8417021063356,,,,
1993,Austria,350.9130518083107,,,,
1993,Belgium,424.3524323919413,,,,
1993,Bulgaria,,,,,
1993,Croatia,,,,,
1993,Czechia,254.9207572498556,,,,
1993,Denmark,243.1877352256991,,,,
1993,Estonia,,,,,
1993,Finland,174.30420338640334,35609.9,,,35.6099
1993,France,2300.501634767116,423174.6,,,423.1746
1993,Germany,3571.1086013795807,910554.3999999999,,,910.5543999999999
1993,Greece,278.8027290397474,,,,
1993,Hungary,187.63548197437538,,,,
1993,Ireland,115.79256643674289,,,,
1993,Italy,2458.6948106460623,,,,
1993,Latvia,,,,,
1993,Lithuania,,,,,
1993,Luxembourg,35.47489269385,,,,
1993,Netherlands,677.1317608992605,,,,
1993,Norway,264.859456854119,38905.1,,,38.9051
1993,Poland,489.77391716053586,,,,
1993,Portugal,280.26342054157226,,,,
1993,Romania,,,,,
1993,Slovakia,75.22923481112656,,,,
1993,Slovenia,44.9160729851138,,,,
1993,Spain,1254.2212993246458,,,,
1993,Sweden,328.0847351501161,72410.9,,,72.4109
1994,Austria,360.0612800854868,,,,
1994,Belgium,438.1487363336988,,,,
1994,Bulgaria,,,,,
1994,Croatia,,,,,
1994,Czechia,261.67071612835156,,,,
1994,Denmark,256.05237092596985,,,,
1994,Estonia,,,,,
1994,Finland,181.25532655082384,42891.3,,,42.8913
1994,France,2355.9780268139807,426471.3,,,426.4713
1994,Germany,3673.4426537445297,939242.7,,,939.2426999999999
1994,Greece,284.6933415719114,,,,
1994,Hungary,193.1464517262489,,,,
1994,Ireland,122.51902113850092,,,,
1994,Italy,2515.2062373751805,,,,
1994,Latvia,,,,,
1994,Lithuania,,,,,
1994,Luxembourg,36.80252968881,,,,
1994,Netherlands,698.0323434633789,,,,
1994,Norway,278.2954589686821,40995.6,,,40.995599999999996
1994,Poland,516.4402526226272,,,,
1994,Portugal,282.75796298573675,,,,
1994,Romania,,,,,
1994,Slovakia,79.91734611205405,,,,
1994,Slovenia,47.24011028902176,,,,
1994,Spain,1288.1495449151103,,,,
1994,Sweden,340.0471423687167,81433.4,,,81.43339999999999
1995,Austria,369.7884268824448,87708.4,,,87.7084
1995,Belgium,448.99529508475257,97752.29999999999,,,97.75229999999999
1995,Bulgaria,115.36027070242672,4034.9,,,4.0349
1995,Croatia,81.61961906510591,7866.8,,,7.8668000000000005
1995,Czechia,277.32975645488193,26165.699999999997,,,26.165699999999998
1995,Denmark,263.54765460119415,52064.1,,,52.064099999999996
1995,Estonia,21.2941821259515,1325.6,,,1.3256
1995,Finland,188.97846311191057,53090.8,,,53.0908
1995,France,2414.0037261078933,449073.89999999997,,,449.0739
1995,Germany,3733.336184128687,982222.0,,,982.222
1995,Greece,291.1718963324896,31861.2,,,31.8612
1995,Hungary,196.04616002692603,15602.7,,,15.6027
1995,Ireland,134.29223070209133,26242.3,,,26.2423
1995,Italy,2589.7404860461775,408819.5,,,408.8195
1995,Latvia,26.770045835096997,1832.9,,,1.8329000000000002
1995,Lithuania,44.292242502277546,2340.1,,,2.3401
1995,Luxembourg,37.311294967670506,5022.2,,,5.0222
1995,Netherlands,720.9333492964432,131543.4,,,131.5434
1995,Norway,289.9708373323609,46019.7,,,46.0197
1995,Poland,553.1057261444869,57952.600000000006,,,57.952600000000004
1995,Portugal,294.8583329420524,37091.7,,,37.091699999999996
1995,Romania,355.67870332805364,17228.4,,,17.2284
1995,Slovakia,84.65233143248236,7141.7,,,7.1417
1995,Slovenia,49.215326009090845,8294.0,,,8.294
1995,Spain,1327.8370381650514,209778.0,,,209.778
1995,Sweden,355.8690397477507,94163.8,,,94.16380000000001
1996,Austria,377.49223886422305,88029.6,,,88.0296
1996,Belgium,454.59182839428576,96738.4,,,96.7384
1996,Bulgaria,120.4184251884285,2474.6000000000004,,,2.4746000000000006
1996,Croatia,86.33693307998058,8046.4,,,8.0464
1996,Czechia,289.02201503985214,31032.9,,,31.0329
1996,Denmark,271.34923532984806,53910.1,,,53.9101
1996,Estonia,22.31942944630848,1616.4,,,1.6164
1996,Finland,195.94425220627687,52314.4,,,52.3144
1996,France,2446.6346683355723,450019.7,,,450.0197
1996,Germany,3778.3857548267943,950237.5,,,950.2375
1996,Greece,295.35967697021556,33474.0,,,33.474
1996,Hungary,196.28778258918535,15981.9,,,15.9819
1996,Ireland,143.8534662350489,29094.0,,,29.094
1996,Italy,2614.8953484604203,462284.19999999995,,,462.28419999999994
1996,Latvia,27.3493895455362,2049.1,,,2.0490999999999997
1996,Lithuania,46.51638462940444,2898.1000000000004,,,2.8981000000000003
1996,Luxembourg,37.923415912284,4862.799999999999,,,4.862799999999999
