year,country,industry_no_construction_va_MioEUR,construction_va_MioEUR,manufacturing_va_MioEUR,industry_va_MioEUR
1995,Austria,40781.3,12952.1,33975.0,87708.4
1996,Austria,40859.3,13306.7,33863.6,88029.6
1997,Austria,41156.1,12983.0,34221.8,88360.9
1998,Austria,42354.5,13570.1,35380.7,91305.29999999999
1999,Austria,44460.3,13944.8,37386.8,95791.90000000001
2000,Austria,46836.9,13936.0,39776.8,100549.70000000001
2001,Austria,48793.6,13595.9,41388.1,103777.6
2002,Austria,48587.2,13690.9,41166.2,103444.29999999999
2003,Austria,49240.0,14615.4,41408.4,105263.8
2004,Austria,51337.5,15087.6,42821.4,109246.5
2005,Austria,53897.9,15293.3,45046.2,114237.4
2006,Austria,57833.0,15540.5,48607.8,121981.3
2007,Austria,61446.6,16913.4,52346.0,130706.0
2008,Austria,62100.5,17901.0,52216.1,132217.6
2009,Austria,57816.4,17409.9,48152.9,123379.20000000001
2010,Austria,59771.9,16797.8,50031.6,126601.29999999999
2011,Austria,62914.4,16768.6,52834.2,132517.2
2012,Austria,64872.6,17471.7,54632.2,136976.5
2013,Austria,65331.9,18080.9,54944.3,138357.1
2014,Austria,66621.2,18500.9,56735.9,141858.0
2015,Austria,68437.2,18846.3,58985.2,146268.7
2016,Austria,72508.3,19653.4,62839.8,155001.5
2017,Austria,73897.5,20873.1,64066.2,158836.8
2018,Austria,76480.4,22084.0,66380.5,164944.9
2019,Austria,78099.4,22949.8,67674.9,168724.09999999998
2020,Austria,73789.8,23778.8,63122.6,160691.2
2021,Austria,79973.3,24531.2,68975.9,173480.4
2022,Austria,89718.1,26422.3,74829.2,190969.6
2023,Austria,96275.1,28395.0,76173.9,200844.0
2024,Austria,93028.0,28435.6,74774.0,196237.6
2025,Austria,94989.6,27997.5,78086.8,201073.90000000002
1995,Belgium,46859.2,10507.1,40386.0,97752.29999999999
1996,Belgium,46746.1,10028.9,39963.4,96738.4
1997,Belgium,48085.3,10148.3,41036.8,99270.40000000001
1998,Belgium,48777.1,10295.2,41950.7,101023.0
1999,Belgium,48776.6,11136.0,41936.4,101849.0
2000,Belgium,52154.1,11796.0,44958.1,108908.2
2001,Belgium,52236.1,12029.4,45044.1,109309.6
2002,Belgium,52973.3,12027.0,45892.2,110892.5
2003,Belgium,52943.6,12369.8,45555.1,110868.5
2004,Belgium,55022.9,13126.9,47758.1,115907.9
2005,Belgium,56344.9,13642.3,49205.9,119193.1
2006,Belgium,56631.9,15356.4,48833.0,120821.3
2007,Belgium,59877.5,16687.5,51750.1,128315.1
2008,Belgium,57930.1,18030.4,49218.5,125179.0
2009,Belgium,53760.7,17486.9,44656.4,115904.0
2010,Belgium,57388.4,17656.0,47688.8,122733.2
2011,Belgium,59709.2,18886.0,49047.3,127642.5
2012,Belgium,58833.3,18736.8,48963.5,126533.6
2013,Belgium,59987.5,18601.1,49975.7,128564.3
2014,Belgium,60613.7,18835.3,50959.1,130408.1
2015,Belgium,61915.5,19017.9,52223.7,133157.09999999998
2016,Belgium,62442.1,19387.0,52480.4,134309.5
2017,Belgium,65238.9,19693.8,55185.7,140118.4
2018,Belgium,66074.4,21064.2,56719.3,143857.9
2019,Belgium,70005.8,22247.6,59514.7,151768.09999999998
2020,Belgium,66815.9,21673.2,55705.8,144194.9
2021,Belgium,66537.3,24533.6,54373.8,145444.7
2022,Belgium,84698.1,27576.0,70348.9,182623.0
2023,Belgium,87490.0,29771.7,72062.6,189324.3
2024,Belgium,86094.5,30118.5,70943.6,187156.6
2025,Belgium,87682.3,31780.9,71721.0,191184.2
1995,Bulgaria,2137.8,459.5,1437.6,4034.9
1996,Bulgaria,1306.5,286.9,881.2,2474.6000000000004
1997,Bulgaria,1936.7,254.9,1297.2,3488.8
1998,Bulgaria,2334.9,525.8,1542.5,4403.2
1999,Bulgaria,2227.7,632.6,1485.9,4346.2
2000,Bulgaria,2627.8,646.8,1728.0,5002.6
2001,Bulgaria,3070.2,744.0,2072.3,5886.5
2002,Bulgaria,3419.2,776.3,2349.6,6545.1
2003,Bulgaria,3769.7,801.9,2609.3,7180.9
2004,Bulgaria,3977.3,902.2,2693.8,7573.3
2005,Bulgaria,4570.5,1255.0,3250.5,9076.0
2006,Bulgaria,5337.2,1616.7,3684.1,10638.0
2007,Bulgaria,6344.8,2180.3,4552.2,13077.3
2008,Bulgaria,6498.4,2809.6,4595.1,13903.1
2009,Bulgaria,6833.2,3107.5,4819.2,14759.900000000001
2010,Bulgaria,6710.8,2384.5,4456.2,13551.5
2011,Bulgaria,8091.6,2290.7,5469.5,15851.8
2012,Bulgaria,8583.4,2142.4,5937.4,16663.199999999997
2013,Bulgaria,8160.7,1725.5,5369.1,15255.300000000001
2014,Bulgaria,8435.4,1651.3,5605.0,15691.699999999999
2015,Bulgaria,9278.6,1726.5,6241.9,17247.0
2016,Bulgaria,10277.9,1646.6,7021.2,18945.7
2017,Bulgaria,10728.6,1866.0,7360.4,19955.0
2018,Bulgaria,10423.6,2030.2,7477.4,19931.2
2019,Bulgaria,10900.4,2294.7,8157.6,21352.699999999997
2020,Bulgaria,10940.3,2571.0,7969.6,21480.9
2021,Bulgaria,12326.9,2477.1,8003.6,22807.6
2022,Bulgaria,18877.4,2903.6,11345.0,33126.0
2023,Bulgaria,17793.3,3666.7,12714.0,34174.0
2024,Bulgaria,17763.0,4376.1,13092.1,35231.2
2025,Bulgaria,19341.9,5265.9,12847.0,37454.8
1995,Czechia,13064.3,3199.1,9902.3,26165.699999999997
1996,Czechia,15454.3,3714.4,11864.2,31032.9
1997,Czechia,15827.5,3732.7,12727.1,32287.300000000003
1998,Czechia,16799.9,3997.2,13659.5,34456.600000000006
1999,Czechia,16858.6,3771.6,13798.2,34428.399999999994
2000,Czechia,18688.2,3762.7,15663.4,38114.3
2001,Czechia,21521.0,4145.7,17889.6,43556.3
2002,Czechia,23944.9,5081.4,19520.3,48546.600000000006
2003,Czechia,23368.6,5287.3,19178.6,47834.5
2004,Czechia,26734.9,5654.7,21918.3,54307.9
2005,Czechia,30376.4,6648.9,24899.5,61924.8
2006,Czechia,35527.2,7167.7,28894.5,71589.4
2007,Czechia,39383.2,8047.0,32166.7,79596.9
2008,Czechia,45116.7,9300.6,35485.8,89903.1
2009,Czechia,39821.1,9420.2,30363.8,79605.1
2010,Czechia,42219.2,10071.0,33015.0,85305.2
2011,Czechia,45896.8,9588.4,36414.0,91899.20000000001
2012,Czechia,44782.1,8622.9,35558.1,88963.1
2013,Czechia,43745.2,8207.0,34921.1,86873.29999999999
2014,Czechia,45261.9,8040.9,37314.0,90616.8
2015,Czechia,48573.1,8579.2,40472.9,97625.20000000001
2016,Czechia,50505.8,8659.1,42567.0,101731.9
2017,Czechia,53966.3,9451.5,45608.9,109026.70000000001
2018,Czechia,56207.4,10502.2,47624.6,114334.20000000001
2019,Czechia,59412.9,11284.0,50760.1,121457.0
2020,Czechia,54323.1,11049.4,45817.6,111190.1
2021,Czechia,57979.4,12174.5,48319.2,118473.09999999999
2022,Czechia,69563.9,14286.7,55659.3,139509.9
2023,Czechia,79389.4,16416.1,65201.7,161007.2
2024,Czechia,77381.1,16307.6,63781.4,157470.1
2025,Czechia,81176.0,18314.6,67314.6,166805.2
1991,Germany,421636.7,83450.5,373781.5,878868.7
1992,Germany,433592.2,100257.7,383471.6,917321.5
1993,Germany,427165.7,109786.5,373602.2,910554.3999999999
1994,Germany,437582.0,118708.1,382952.6,939242.7
1995,Germany,459562.5,121723.4,400936.1,982222.0
1996,Germany,447515.5,112933.8,389788.2,950237.5
1997,Germany,444718.8,105440.3,389660.3,939819.3999999999
1998,Germany,459763.9,100877.1,403478.6,964119.6
1999,Germany,465865.0,100662.0,410120.0,976647.0
2000,Germany,483438.0,96972.0,431981.0,1012391.0
2001,Germany,491554.0,91986.0,441002.0,1024542.0
2002,Germany,485669.0,87922.0,433029.0,1006620.0
2003,Germany,489975.0,84137.0,438145.0,1012257.0
2004,Germany,510829.0,81661.0,453784.0,1046274.0
2005,Germany,518508.0,78899.0,459778.0,1057185.0
2006,Germany,555602.0,81514.0,493457.0,1130573.0
2007,Germany,587119.0,85545.0,521915.0,1194579.0
2008,Germany,586083.0,88250.0,511603.0,1185936.0
2009,Germany,505113.0,89402.0,432427.0,1026942.0
2010,Germany,586538.0,94401.0,508085.0,1189024.0
2011,Germany,621874.0,100001.0,552758.0,1274633.0
2012,Germany,638585.0,104485.0,561180.0,1304250.0
2013,Germany,633977.0,107809.0,566418.0,1308204.0
2014,Germany,663715.0,111828.0,600184.0,1375727.0
2015,Germany,684747.0,113982.0,621665.0,1420394.0
2016,Germany,715533.0,120757.0,652239.0,1488529.0
2017,Germany,738434.0,127357.0,669711.0,1535502.0
2018,Germany,750664.0,137055.0,680125.0,1567844.0
2019,Germany,760058.0,143419.0,683030.0,1586507.0
2020,Germany,716084.0,154717.0,639332.0,1510133.0
2021,Germany,764213.0,162155.0,683907.0,1610275.0
2022,Germany,845760.0,173942.0,730927.0,1750629.0
2023,Germany,943392.0,187208.0,799148.0,1929748.0
2024,Germany,916055.0,193155.0,779505.0,1888715.0
2025,Germany,924672.0,199904.0,787292.0,1911868.0
1995,Denmark,25624.5,5623.5,20816.1,52064.1
1996,Denmark,26634.6,6316.5,20959.0,53910.1
1997,Denmark,28256.9,6117.4,22387.7,56762.0
1998,Denmark,28339.3,6975.0,22977.9,58292.200000000004
1999,Denmark,29935.2,7875.4,23804.9,61615.5
2000,Denmark,33734.8,8390.0,25185.1,67309.9
2001,Denmark,34030.8,8134.3,25849.5,68014.6
2002,Denmark,34607.9,8427.2,26455.7,69490.8
2003,Denmark,33960.7,8968.7,25634.9,68564.29999999999
2004,Denmark,35500.6,9419.1,25880.1,70799.79999999999
