STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2010,,57727.030,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2011,,50091.732,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2012,,51253.496,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2013,,52221.543,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2014,,44451.169,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2015,,49342.061,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2016,,55202.002,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2017,,53936.175,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2018,,49285.626,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2019,,52364.072,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2020,,52742.040,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2021,,58083.823,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2022,,48324.383,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2023,,43879.257,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,AT,Austria,2024,,40489.805,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2010,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2011,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2012,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2013,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2014,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2015,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2016,,118047.420,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2017,,115222.950,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2018,,115262.460,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2019,,114358.590,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2020,,105803.100,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2021,,128319.570,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2022,,97133.130,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BE,Belgium,2023,,95070.960,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2010,,1709.820,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2011,,1940.004,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2012,,1852.236,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2013,,1558.296,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2014,,1566.576,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2015,,1712.121,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2016,,1953.626,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2017,,2321.166,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2018,,2608.553,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2019,,2637.635,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2020,,3288.290,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2022,,2923.193,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,BG,Bulgaria,2023,,2316.723,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2010,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2011,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2012,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2013,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2014,,0.000,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2015,,47627.100,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2016,,54688.992,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2017,,55398.746,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2018,,51038.226,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2019,,49363.439,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2020,,51458.557,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2021,,57840.767,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2022,,44600.400,,,,,
dataflow,ESTAT:NRG_D_HHQ(1.0),Disaggregated final energy consumption in households - quantities,A,Annual,FC_OTH_HH_E_SH,Final consumption - other sectors - households - energy use - space heating,G3000,Natural gas,TJ,Terajoule,CZ,Czechia,2023,,38735.269,,,,,
