,country,year,scenario,share_pu,Total_Heat_TJ_ML,COP,Demand_HP_TWh
0,Austria,2025,KKO,0.07398407932471668,239536.45,4.0,1.2306863703063227
1,Austria,2026,KKO,0.08174677005592844,239343.27,4.0,1.3587180782262476
2,Austria,2027,KKO,0.0916045504170126,249028.19,4.0,1.5841747320232134
3,Austria,2028,KKO,0.1039513649967064,239343.27,4.0,1.7277820124353291
4,Austria,2029,KKO,0.11915123655461513,239343.27,4.0,1.9804200097325666
5,Austria,2030,KKO,0.13747106453768043,239343.27,4.0,2.2849149941038878
6,Austria,2035,KKO,0.26863286625652427,230696.06,4.0,4.30364927909976
7,Austria,2040,KKO,0.38880222810688186,230696.06,4.0,6.228829897182858
8,Austria,2045,KKO,0.4400161178666293,230696.06,4.0,7.049305153304199
9,Austria,2050,KKO,0.4400161178666293,230696.06,4.0,7.049305153304199
10,Austria,2055,KKO,0.4400161178666293,224807.61,4.0,6.869373215991651
11,Austria,2060,KKO,0.4400161178666293,224807.61,4.0,6.869373215991651
12,Belgium,2025,KKO,0.05408980579038955,282488.4,4.0,1.0610932665765225
13,Belgium,2026,KKO,0.07054091023147234,282488.4,4.0,1.383818702453048
14,Belgium,2027,KKO,0.09143203933769856,287193.5,4.0,1.8235199173022343
15,Belgium,2028,KKO,0.11759806130074532,282488.4,4.0,2.3069506200897627
16,Belgium,2029,KKO,0.14981043239068137,282488.4,4.0,2.9388687711079418
17,Belgium,2030,KKO,0.18863478002059567,282488.4,4.0,3.7004957218308414
18,Belgium,2035,KKO,0.4665998018759062,267667.16,4.0,8.673155921151688
19,Belgium,2040,KKO,0.7212690642322986,267667.16,4.0,13.406947516993625
20,Belgium,2045,KKO,0.8298042459682052,267667.16,4.0,15.424399196873264
21,Belgium,2050,KKO,0.8298042459682052,267667.16,4.0,15.424399196873264
22,Belgium,2055,KKO,0.8298042459682052,259908.34,4.0,14.97729493081423
23,Belgium,2060,KKO,0.8298042459682052,259908.34,4.0,14.97729493081423
24,Bulgaria,2025,KKO,0.0006505122638932409,62228.754,3.5,0.003212743406959691
25,Bulgaria,2026,KKO,0.0014856286670971682,59683.47,3.5,0.007037100858095406
26,Bulgaria,2027,KKO,0.002546136468293293,66142.99,3.5,0.013365801173594078
27,Bulgaria,2028,KKO,0.003874416537646274,67859.46,3.5,0.020866336229509765
28,Bulgaria,2029,KKO,0.005509630731297516,64984.266,3.5,0.028415819131913496
29,Bulgaria,2030,KKO,0.0074804923026619554,65638.77,3.5,0.038969073599698874
30,Bulgaria,2035,KKO,0.02159098258005693,76946.914,3.5,0.13185393204035734
31,Bulgaria,2040,KKO,0.034518897489803226,89925.74,3.5,0.2463601280326266
32,Bulgaria,2045,KKO,0.04002852822110075,90449.12,3.5,0.2873448568472167
33,Bulgaria,2050,KKO,0.04002852822110075,82902.44,3.5,0.2633700543562608
34,Bulgaria,2055,KKO,0.04002852822110075,87063.54,3.5,0.276589314553546
35,Bulgaria,2060,KKO,0.04002852822110075,84620.41,3.5,0.2688278058621587
36,Croatia,2025,KKO,0.013807133118193399,74424.516,4.3,0.0663817328701149
37,Croatia,2026,KKO,0.019815498920796107,74424.516,4.3,0.09526866618784724
38,Croatia,2027,KKO,0.02744547574995944,95803.336,4.3,0.16985582191130752
39,Croatia,2028,KKO,0.03700197890851418,88221.734,4.3,0.21087719205630454
40,Croatia,2029,KKO,0.04876676403711561,88437.305,4.3,0.27860472672957437
41,Croatia,2030,KKO,0.06294641279221055,58405.727,4.3,0.23749555669221928
42,Croatia,2035,KKO,0.16446637685398133,58515.617,4.3,0.6216958789216288
